tag,pearson,spearman
Calciner Outlet-1 CO (SLC),1.0,1.0
A54 Temperature (Bottom cone_ Kiln string),0.5717650816283786,0.5468888121436531
Preheater Exhaust Gas Temperature (SLC),0.3931150372138946,0.3310726614810593
Preheater Exhaust Gas Temperature  (Kiln String),0.34233148533083213,0.31552782626460735
Preheater Exhaust Gas Temperature (ILC),0.2671570934803737,0.23855884705602673
Specific Air consumption,0.2658608057332398,0.19858272154596346
Kiln Outlet O2 (Kiln string),0.22728217690815378,0.30533586049715233
Calciner Coal Feed Rate (ILC),0.20152683775552016,0.26824699161663845
Clinker temperature,0.1667516795795629,0.23335645388508633
Calciner_temperature_SP (ILC),0.1525815780494781,0.19394325389955727
C56 Temperature (Bottom cone_ ILC string),0.13294816338415338,0.19499079441414252
Calciner Outlet-2 CO (ILC),0.13065305994183118,0.16759994238823958
Stroke Speed PV,0.12237429670327558,0.13682350272429888
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.11615289327149246,0.11130675083460352
Kiln Inlet CO,0.11289620375769863,0.11933239667076244
Cooler Fan-2 Pressure,0.0875932992049274,0.07077028492796779
Calciner_temperature_PV (ILC),0.07176520610991104,0.10044286890413921
Cooler Fan 10 Flow,0.06439325375477294,0.14200426418211318
PH FAN SPEED SP (ILC),0.05691218939815028,0.00725726999099519
Cooler Fan 14 Flow SP,0.04495313352856032,-0.0041366481950498475
Cooler Fan 14 Flow,0.04491283532882992,0.0005646909344257069
PH Fan Speed (ILC),0.041786493149649565,-0.011242547431223271
PH FAN SPEED SP (SLC),0.03845007328205932,0.039153796517802736
Kiln Hood Draft temperature,0.035570174809831025,0.030508649260192516
PH Fan Speed (SLC),0.01602975429379671,0.026521966661847113
Cooler Fan 13 Flow SP,-0.002062646563843907,0.06441062091004683
Cooler Fan 13 Flow,-0.005343152561458238,0.07204658827897997
Vessel_Calciner_temperature_PV (SLC),-0.016915335952109242,-0.015051577741814374
Vessel_temperature_SP (SLC),-0.01692867233662168,-0.07682185709389838
Power Consumption Fan 14,-0.032175390389810134,-0.08325920190325808
Cooler Fan-3 Pressure,-0.0331426963188555,-0.0627279148501295
Calciner Outlet-1 O2 (SLC),-0.03331970016897984,0.0667777463633177
Power Consumption Fan 13,-0.039997183753424904,-0.04502399139622467
A54 Draft,-0.05701030233378395,-0.1675185936018498
Cooler Fan-4 Pressure,-0.06011034039311549,-0.10206950676963901
C56 Draft,-0.06443564555736353,-0.03330865165469047
Tower pressure Setpoint,-0.07698283849544069,-0.08527882629945989
Tower pressure (mmwg),-0.07883846763513512,-0.09974868795698347
PH Fan Speed  (Kiln String),-0.08954247636247091,-0.11321965881613531
PH FAN SPEED SP  (Kiln String),-0.09089903451430618,-0.12233178233548862
Cooler Fan 16 Flow SP,-0.0916396088348028,-0.1360954687648487
Power Consumption Fan 12,-0.09404160903375126,-0.1038452343419248
Cooler Fan 12 Flow,-0.10081742997501267,-0.07501681930407117
Kiln Feed PV (SLC),-0.10120795744616913,-0.09039645158802306
Cooler Fan 12 Flow SP,-0.1033984046470792,-0.07699922624999783
Kiln inlet Temperature,-0.10354881737793423,-0.14222197854699303
Power Consumption Fan 10,-0.10599404703996546,-0.12053559245747092
Calciner Outlet-2 O2 (ILC),-0.12434235167387257,-0.21647109143733584
Kiln Feed PV (Kiln String),-0.12606381912645417,-0.16085777578159371
Kiln Feed  SP  (Kiln String),-0.12879901843658456,-0.1767357648621036
Kiln Coal Feed Rate,-0.13798998556474948,-0.10372344726770708
Secondary Air Temperature,-0.13839446041293704,-0.15690397183339533
B54 Draft,-0.14679996592792444,-0.11711182750536069
Cooler Fan 17 Flow SP,-0.16269216498354666,-0.23549734933649427
Cooler Fan-1 Pressure,-0.1810646191294517,-0.26825646148425614
Kiln Inlet O2,-0.18386696392150098,-0.23856664902273125
Kiln Drive Current (Torque),-0.1942559985938578,-0.19651631550131657
Kiln Feed  SP (SLC),-0.19927648996931566,-0.20969181486869395
Power Consumption Fan 17,-0.2186631592590223,-0.23658473877595088
Kiln Feed PV (ILC),-0.221161460034661,-0.24214354907980984
Kiln Feed  SP  (ILC),-0.2253336290328559,-0.2573708863644977
Cooler Fan-5 Pressure,-0.22694016024408672,-0.2660265710711312
Kiln Drive Speed SP,-0.23587451026525694,-0.22868770941496497
Kiln Drive Speed,-0.23685481373611086,-0.23422064281839255
Diverter position,-0.24065618635505565,-0.19749872227280138
Cooler Fan-7 Pressure,-0.2894542691773939,-0.2785759516550854
Power Consumption Fan 15,-0.3052043593327197,-0.3299203618810939
Cooler Fan 16 Flow,-0.30927255402489323,-0.2920719320296722
Cooler Fan 17 Flow,-0.3092806864896751,-0.2920902519273831
Power Consumption Fan 16,-0.3101220099943088,-0.3122842281872347
Cooler Fan-6 Pressure,-0.3262988811701019,-0.3147697710481343
Cooler Fan 15 Flow,-0.3663318789780089,-0.366608379860913
Cooler Fan 15 Flow SP,-0.39060923682736415,-0.37457566409218246
TA Duct Temperature,-0.4079609107892981,-0.3958007840396093
Kiln Outlet CO (Kiln string),-0.4501466162534523,-0.456642787899421
Coal Feed Rate (Calciner String),-0.45847614031624095,-0.4457679601919382
Kiln Coal SP,-0.45882024341747174,-0.44878557312875783
TA Duct Draft,,
Cooler Fan 10 Flow SP,,
