tag,pearson,spearman
Calciner Outlet-1 CO (SLC),1.0,1.0
Kiln Feed PV (SLC),0.29440470262563645,0.1441251331268338
Vessel_Calciner_temperature_PV (SLC),0.29253732182602143,0.1731091859010006
Kiln Outlet O2 (Kiln string),0.29106444735877046,0.32545425749936835
PH Fan Speed (SLC),0.2902090641310744,0.09053955496269951
Kiln Feed  SP (SLC),0.28767494272684174,0.08614331969609913
Kiln Coal Feed Rate,0.2839272066146302,0.12682652839708863
C56 Temperature (Bottom cone_ ILC string),0.2768056138257388,0.19494087523501233
Preheater Exhaust Gas Temperature (SLC),0.2763503654578854,0.2690537451222443
Stroke Speed PV,0.27563864251590653,0.22220069613335042
Calciner_temperature_PV (ILC),0.27376905823799147,0.22012275687756283
PH Fan Speed (ILC),0.272993953026824,0.10115604727079583
Cooler Fan-2 Pressure,0.2709958287100301,0.18570929771466207
Calciner Coal Feed Rate (ILC),0.26905748674601454,0.2316720924462276
Kiln Feed PV (Kiln String),0.26467993410919005,0.12799839591260498
Kiln Feed  SP  (Kiln String),0.264488768215371,0.12466514748404536
B54 Draft,0.25833122831972954,0.04478570413454564
Clinker temperature,0.25698395235038685,0.2817986987955292
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.25093310567536803,0.14180997898953465
Kiln Feed PV (ILC),0.24170088226582942,-0.040032307740052904
Cooler Fan-3 Pressure,0.24149873041428935,0.11360987263397278
C56 Draft,0.23996333159916503,0.0126484251072246
A54 Draft,0.23585856212939715,0.08868729973143791
Power Consumption Fan 13,0.23389855523501668,0.12375045434231458
A54 Temperature (Bottom cone_ Kiln string),0.2306256744075926,0.5388449351854001
Tower pressure (mmwg),0.22765290260841564,0.09645001014293579
Cooler Fan-4 Pressure,0.22493625556565736,0.08677231830837717
PH FAN SPEED SP (SLC),0.2248198937673956,0.09250369917799306
Kiln Feed  SP  (ILC),0.2167890850624057,-0.07075589346273725
Power Consumption Fan 12,0.21424934438565746,0.08006672883620321
Secondary Air Temperature,0.21043335644534733,0.037226981170596155
Power Consumption Fan 14,0.20980585026406343,0.09600966075772054
Kiln Drive Speed,0.2094881036887853,-0.033334436411307844
Kiln Drive Speed SP,0.20658186702470055,-0.03184979910675784
Power Consumption Fan 10,0.20593079264566455,0.10043467684947681
PH FAN SPEED SP  (Kiln String),0.19705804908348037,0.08414626720613401
Cooler Fan 13 Flow,0.1943628450948896,0.17043151751864996
Cooler Fan 14 Flow,0.18937960812721297,0.1399867139065718
PH Fan Speed  (Kiln String),0.18723667887824602,0.1061611120202001
Cooler Fan-1 Pressure,0.18074058652885797,0.029603809873768983
Cooler Fan 10 Flow,0.1736008975183555,0.1889289021849246
Cooler Fan-5 Pressure,0.17048957063710482,-0.012250551620932675
Calciner Outlet-2 CO (ILC),0.16932299816175517,0.20351698661149883
Cooler Fan 12 Flow,0.1693085937251126,0.07960420420901096
Power Consumption Fan 15,0.1644574590746665,-0.023774594990535847
PH FAN SPEED SP (ILC),0.15593740889167185,0.010917422987650537
Cooler Fan 15 Flow,0.1551177038353017,0.0049116887629173265
Tower pressure Setpoint,0.1417167532341352,0.05776459904383642
Kiln Drive Current (Torque),0.14002985781713073,-0.03158992217176578
Preheater Exhaust Gas Temperature  (Kiln String),0.134974644909463,0.23509195282677503
Calciner_temperature_SP (ILC),0.13069935170795544,0.13827137830603636
Cooler Fan 13 Flow SP,0.12605330599108022,0.13315155029973882
Cooler Fan 12 Flow SP,0.1164013116363581,0.04144634371844803
Cooler Fan 14 Flow SP,0.1119947266842021,0.06939888318089077
Kiln Inlet CO,0.1044208088661262,0.17636106674029206
Cooler Fan 10 Flow SP,0.09773537162066953,0.15431433463803865
Cooler Fan 15 Flow SP,0.07089124749694393,-0.058318575149529414
Cooler Fan 16 Flow SP,0.06978741411715751,-0.05163793692080126
Kiln inlet Temperature,0.06356827186875913,0.021506400930348248
Power Consumption Fan 17,0.05918586363384434,-0.07743835673036953
Kiln Hood Draft temperature,0.043428763269559974,0.0006293341311218814
Cooler Fan-6 Pressure,0.035994140751631966,-0.0946130652715287
Vessel_temperature_SP (SLC),0.018316555724018364,0.016822505490780498
TA Duct Draft,0.008290945680186427,-0.06418425949411496
Cooler Fan-7 Pressure,0.004797276597120929,-0.07879650704879586
Power Consumption Fan 16,-0.003424046844988751,-0.11581098173230406
Coal Feed Rate (Calciner String),-0.02222149716435988,-0.1923564725196011
Kiln Coal SP,-0.039939023902751544,-0.19325598995429374
Preheater Exhaust Gas Temperature (ILC),-0.053354587220413065,0.14922866110755534
Cooler Fan 17 Flow,-0.05774826084342784,-0.1061927500239572
Cooler Fan 16 Flow,-0.057799660470888484,-0.10619478598241994
Cooler Fan 17 Flow SP,-0.060803107764729934,-0.15787819085468816
Specific Air consumption,-0.09347595968892383,0.1261663672078441
Kiln Inlet O2,-0.16338157728440647,-0.21166245288626936
TA Duct Temperature,-0.17282094185288657,-0.2643809002503961
Calciner Outlet-2 O2 (ILC),-0.2196986443541067,-0.18178571378639505
Kiln Outlet CO (Kiln string),-0.296801340317681,-0.39335572064906926
Diverter position,-0.32831736473647105,-0.28658118003335864
Calciner Outlet-1 O2 (SLC),-0.4448419552050585,-0.34532721673944705
