tag,pearson,spearman
Calciner Outlet-1 O2 (SLC),1.0,1.0
Diverter position,0.575616771427057,0.09876161663567144
Kiln Outlet CO (Kiln string),0.431749693830136,0.2949947325227919
Calciner Outlet-2 O2 (ILC),0.33560985076214334,0.11406359632730742
Preheater Exhaust Gas Temperature (ILC),0.3072415171643799,0.3134897706731238
Specific Air consumption,0.2155096022901115,0.4556550151616357
Kiln Inlet O2,0.20861733581127853,-0.13391816283856947
Kiln Inlet CO,0.03246642973056845,-0.05933439663243295
TA Duct Draft,0.02308146479419766,0.2768479680456594
Kiln inlet Temperature,-0.12091344263077881,0.19190293830339236
Kiln Hood Draft temperature,-0.12641739208952024,-0.1252278224201536
TA Duct Temperature,-0.16428259480769977,-0.27770130954083105
Vessel_temperature_SP (SLC),-0.16866826601474325,-0.14278157429520427
Calciner_temperature_SP (ILC),-0.1868063751891346,-0.09551866848218896
Preheater Exhaust Gas Temperature  (Kiln String),-0.1900559258232233,-0.01683484767405415
Calciner Outlet-2 CO (ILC),-0.21289211435232386,-0.11345672034061154
Cooler Fan 17 Flow SP,-0.21954133687635574,-0.4491949555151936
Kiln Outlet O2 (Kiln string),-0.2506288732236936,-0.21498639568463612
Cooler Fan 16 Flow SP,-0.28855127606219966,-0.4944104466162298
Clinker temperature,-0.3089636135195524,-0.3344047342223268
Power Consumption Fan 17,-0.311947105009119,-0.2579046454453917
Cooler Fan 10 Flow SP,-0.3176358697694017,-0.24387550421235493
Cooler Fan 16 Flow,-0.32092676583555785,-0.25957983581133565
Cooler Fan 17 Flow,-0.3209708584305121,-0.2595842965764731
Cooler Fan 14 Flow SP,-0.3254811420042164,-0.08834624426432146
Cooler Fan 10 Flow,-0.32850180702048903,0.1350417526410778
Power Consumption Fan 16,-0.33058183949761877,-0.2722491643499946
Tower pressure Setpoint,-0.33138142806315135,-0.2837360615698266
Cooler Fan 15 Flow SP,-0.34885198256038064,-0.26791560481059773
A54 Temperature (Bottom cone_ Kiln string),-0.3617472986434841,-0.17441265554526114
Kiln Coal SP,-0.36232091542329087,-0.44666509961469125
Cooler Fan 13 Flow SP,-0.36256092256127803,-0.07275466598851305
Coal Feed Rate (Calciner String),-0.3682345631856345,-0.44648343510348665
PH FAN SPEED SP (ILC),-0.37494269647810474,-0.19927842275973984
Cooler Fan-7 Pressure,-0.37912503820449056,-0.3294112095084763
Cooler Fan 12 Flow SP,-0.3824003595586199,-0.15449430682459375
PH Fan Speed  (Kiln String),-0.39265439755676473,-0.20976348455860666
Calciner Coal Feed Rate (ILC),-0.4154580956734964,0.1525691105451181
Cooler Fan-6 Pressure,-0.42927757647883746,-0.373068947888209
Kiln Drive Current (Torque),-0.4369971210314558,-0.1512439745125228
Preheater Exhaust Gas Temperature (SLC),-0.4382627330831133,-0.019599972823856643
Calciner Outlet-1 CO (SLC),-0.4448419552050585,-0.3453272167394471
Power Consumption Fan 15,-0.44490324475743404,-0.4586305245326933
Cooler Fan 14 Flow,-0.4516848314432682,-0.1361250120359009
Stroke Speed PV,-0.45190735708615526,-0.14773935662512208
Cooler Fan 12 Flow,-0.4557315967687784,-0.12948753757579456
Power Consumption Fan 14,-0.459079696854519,-0.29190598130459994
Cooler Fan 15 Flow,-0.45995117923116896,-0.37446395770901286
Power Consumption Fan 12,-0.47185637821077153,-0.28476491798980724
Cooler Fan-1 Pressure,-0.47280904323343764,-0.31524409706402684
Power Consumption Fan 10,-0.47741885215111635,-0.0559577328846532
Cooler Fan 13 Flow,-0.4786774361819934,-0.06784483247835399
PH FAN SPEED SP  (Kiln String),-0.48393441488207145,-0.21571873997025406
PH Fan Speed (ILC),-0.48893586338361245,-0.1845478227060037
Calciner_temperature_PV (ILC),-0.49066314090943747,-0.21377102893874822
Cooler Fan-5 Pressure,-0.49687569823475863,-0.45907430947252664
Kiln Feed  SP  (ILC),-0.4980474721430481,-0.44924085891862
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,-0.499677521898534,-0.21479644448281004
Tower pressure (mmwg),-0.5004345603600121,-0.4349744464449686
Cooler Fan-4 Pressure,-0.5018323919592634,-0.4265387528168018
C56 Temperature (Bottom cone_ ILC string),-0.5041736754552293,-0.12823372161988117
Cooler Fan-2 Pressure,-0.5095558387147019,-0.30730202010517593
PH FAN SPEED SP (SLC),-0.5116186410542889,-0.23405622542653887
C56 Draft,-0.5121670938128512,-0.3054194171235589
Power Consumption Fan 13,-0.5175995791538678,-0.3376680744631962
Secondary Air Temperature,-0.5192348522456666,-0.3908122234873327
Cooler Fan-3 Pressure,-0.5227866952832788,-0.44890116310518063
A54 Draft,-0.528809465076794,-0.5977310738097457
Kiln Feed PV (ILC),-0.5373064648591952,-0.4656639669632923
Kiln Feed  SP  (Kiln String),-0.5567593083149283,-0.34557616004942143
Kiln Feed PV (Kiln String),-0.5570485007499836,-0.3451065194766608
Kiln Drive Speed,-0.5692102795045665,-0.413017187162037
Kiln Drive Speed SP,-0.5699130208275278,-0.41205722418845503
B54 Draft,-0.5875426570150682,-0.2326299760549331
Vessel_Calciner_temperature_PV (SLC),-0.5930055255259628,-0.20089646061453073
PH Fan Speed (SLC),-0.6051613223925082,-0.3244967224223659
Kiln Feed PV (SLC),-0.6118277335084501,-0.2928840883065842
Kiln Coal Feed Rate,-0.6130938123545715,-0.5659239692728132
Kiln Feed  SP (SLC),-0.6150029890083013,-0.3872949371373264
