tag,pearson,spearman
Kiln Drive Current (Torque),1.0,1.0
Kiln Feed  SP  (Kiln String),0.841881860834132,0.1925743059844717
Kiln Feed PV (Kiln String),0.8369828436433965,0.19024631510922516
PH Fan Speed  (Kiln String),0.8207585218951234,0.222737914742518
Power Consumption Fan 13,0.820021092478503,0.27105194923251247
Power Consumption Fan 10,0.8007903136161652,0.18238420368213043
Power Consumption Fan 15,0.7768755448663688,0.15931005244594046
Power Consumption Fan 12,0.7746788981671032,0.2108580413702115
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.764990985811968,0.1910158226940313
Power Consumption Fan 14,0.7631419022593429,0.23780331513459896
A54 Temperature (Bottom cone_ Kiln string),0.7609760467288341,-0.0641426826353165
Cooler Fan-2 Pressure,0.7575505365913735,0.18461468476864495
PH Fan Speed (SLC),0.7562326691321516,0.30773838827683514
Cooler Fan-3 Pressure,0.7439396518380279,0.20442291586698594
B54 Draft,0.7422850857119556,0.23892223045169195
Kiln Feed  SP (SLC),0.7380657388072532,0.16065786455504202
Kiln Feed PV (SLC),0.7364372614675191,0.16437018291973532
Stroke Speed PV,0.7335456530363152,0.2698641414448024
A54 Draft,0.7275419871070059,0.15428777820838935
Cooler Fan 10 Flow,0.7266684573474126,0.11028426423462356
Kiln Drive Speed,0.7250264017367638,0.15697290418382479
Cooler Fan-1 Pressure,0.7239931853918627,0.26430007534467004
PH Fan Speed (ILC),0.7209940883496677,0.2330809723016899
Cooler Fan-5 Pressure,0.718981251345485,0.19627363779774504
Cooler Fan 13 Flow,0.7159970871134893,0.29193042460030566
Cooler Fan-4 Pressure,0.7156254753543712,0.20621825554629036
C56 Draft,0.7098497000981703,0.3084794742416068
C56 Temperature (Bottom cone_ ILC string),0.7063701857503379,0.26477944017893695
Power Consumption Fan 17,0.7044236793987103,0.2326321612192019
Cooler Fan 12 Flow,0.703949563150743,0.22821537648178875
Tower pressure (mmwg),0.703938257481088,0.21919853231274375
Kiln Feed PV (ILC),0.7004052094055248,0.21171028140194173
Vessel_Calciner_temperature_PV (SLC),0.6915508054401973,0.36034566827843845
Kiln Drive Speed SP,0.6911188858160278,0.15670962304529748
Secondary Air Temperature,0.6910938905469394,0.2160179495959569
Cooler Fan 14 Flow,0.6846957183829168,0.2617824242672367
Cooler Fan 15 Flow,0.6597541401589042,0.09847884404476671
Kiln Coal Feed Rate,0.6527692865880642,-0.000743004673593652
Power Consumption Fan 16,0.6467798568208146,0.27152460903218245
PH FAN SPEED SP  (Kiln String),0.6379438947340745,0.20680753954176423
Coal Feed Rate (Calciner String),0.6335498821857823,0.15700394901043987
Calciner_temperature_PV (ILC),0.6333339999640738,0.20536107614944216
Calciner Coal Feed Rate (ILC),0.6315769324557118,0.06726357119708486
Cooler Fan-6 Pressure,0.6286420835969628,0.2612479614679351
PH FAN SPEED SP (SLC),0.6034809544144276,0.2698024411142563
Kiln Coal SP,0.5995090521968328,0.15679669607230234
Kiln Feed  SP  (ILC),0.5694555905298407,0.17496935337997807
PH FAN SPEED SP (ILC),0.5670813727192248,0.20207340033121585
Cooler Fan-7 Pressure,0.5533838302508721,0.24990137194943077
Preheater Exhaust Gas Temperature  (Kiln String),0.4886853164746146,0.1069598810802978
Cooler Fan 17 Flow,0.4826450606941532,0.2853849158583532
Cooler Fan 16 Flow,0.4824608018452686,0.28535776087718967
Kiln inlet Temperature,0.4697821532939013,-0.07229162892505982
Preheater Exhaust Gas Temperature (SLC),0.46756473386995817,0.06538116454678501
Cooler Fan 12 Flow SP,0.4446020897627282,0.21194039375110887
Cooler Fan 13 Flow SP,0.4264896515085271,0.19702859006261225
Clinker temperature,0.3903873032240189,0.19017077783100722
Cooler Fan 10 Flow SP,0.3857250293241585,0.2503502363265024
Cooler Fan 14 Flow SP,0.3819469757099591,0.21597765838113522
Cooler Fan 15 Flow SP,0.3795246146482942,0.08185507797008823
Cooler Fan 16 Flow SP,0.26680363556054304,0.09924614585851164
Calciner Outlet-2 CO (ILC),0.25386399599306664,0.13490835597100587
Tower pressure Setpoint,0.24054209321338185,0.16215356117226634
Kiln Outlet O2 (Kiln string),0.24029796864282113,0.03766665151540133
Calciner_temperature_SP (ILC),0.22012126852837255,0.07107706819798632
TA Duct Temperature,0.21620621445996374,0.0712458641270914
Cooler Fan 17 Flow SP,0.1906097809920998,0.09022040870639374
Vessel_temperature_SP (SLC),0.1472536670794243,0.192824677038672
Calciner Outlet-1 CO (SLC),0.14002985781713073,-0.03158992217176578
Kiln Hood Draft temperature,0.05900542649577162,0.05301077317411696
TA Duct Draft,0.011255159674166244,-0.13931489495303598
Kiln Inlet CO,0.008278782042998166,0.00381978633696716
Specific Air consumption,-0.29346153068930264,-0.021573128032184957
Calciner Outlet-2 O2 (ILC),-0.4259734447662672,-0.15736489241300444
Calciner Outlet-1 O2 (SLC),-0.4369971210314558,-0.1512439745125228
Preheater Exhaust Gas Temperature (ILC),-0.4627882453231315,-0.055674172065692064
Kiln Inlet O2,-0.5040726367777364,-0.06525379649779998
Kiln Outlet CO (Kiln string),-0.5376999549462945,-0.07469686482106619
Diverter position,-0.6553018166613067,-0.056357984072500526
