tag,pearson,spearman
Kiln Inlet O2,1.0,1.0
Kiln Outlet CO (Kiln string),0.39438214164328855,0.2901117275166425
Diverter position,0.3667859162818717,0.09106617489304067
Preheater Exhaust Gas Temperature (ILC),0.32457986599310734,-0.06351588177573986
Specific Air consumption,0.26221871977229205,-0.3269808542231001
Calciner Outlet-1 O2 (SLC),0.2086173358112785,-0.13391816283856947
Calciner Outlet-2 O2 (ILC),0.18854463912524333,-0.05545193980180161
Cooler Fan 16 Flow SP,0.058161384473466644,0.4022124813548888
TA Duct Temperature,0.029672724863195075,0.29067996038645955
Cooler Fan 17 Flow SP,0.028479819356859806,0.18231240431717163
Kiln Hood Draft temperature,0.01670981071838652,0.03652697940276685
TA Duct Draft,-0.04060122586346874,-0.14770073130919983
Calciner_temperature_SP (ILC),-0.07093617980045662,0.07339451257612775
Vessel_temperature_SP (SLC),-0.0995840274810462,-0.010753662846112916
Tower pressure Setpoint,-0.11285303392538065,-0.20611201712459204
Preheater Exhaust Gas Temperature (SLC),-0.16318374939108163,-0.02115500152758261
Calciner Outlet-1 CO (SLC),-0.16338157728440647,-0.21166245288626936
Cooler Fan 15 Flow SP,-0.16790608296084586,0.03734393927712423
Clinker temperature,-0.1709502519312,-0.045453279881810096
Cooler Fan 10 Flow SP,-0.18201827525970413,-0.07209417887632748
Cooler Fan 14 Flow SP,-0.19204265595439987,-0.13192616170783864
Kiln Outlet O2 (Kiln string),-0.2016517988473188,0.04460680815505107
Cooler Fan 13 Flow SP,-0.2109047692539065,-0.09193838133381949
Calciner Outlet-2 CO (ILC),-0.22207083985463433,-0.30645383737516446
Cooler Fan 12 Flow SP,-0.222598472529683,-0.10345388933178597
Cooler Fan 16 Flow,-0.22320863858895534,-0.05997492179487612
Cooler Fan 17 Flow,-0.22329308622290794,-0.05998734432119497
Preheater Exhaust Gas Temperature  (Kiln String),-0.24438762239852355,-0.17336235365899388
Kiln Coal SP,-0.2529794094881629,0.281334584338596
Kiln Inlet CO,-0.25792202867434744,-0.3894385765557198
Cooler Fan-7 Pressure,-0.2710141772040605,-0.0362147109587116
Coal Feed Rate (Calciner String),-0.28114671324649726,0.2788595914674604
Kiln Feed  SP  (ILC),-0.28583854039036527,0.12316627331752998
Cooler Fan-6 Pressure,-0.31211168250024585,-0.008983285162461043
Kiln Coal Feed Rate,-0.3262545224437592,0.19716861359972093
PH FAN SPEED SP (SLC),-0.3295457017759864,-0.13301930835491615
Calciner_temperature_PV (ILC),-0.3309965814938907,-0.022877411405219462
Vessel_Calciner_temperature_PV (SLC),-0.33604930498059565,-0.09807118156667485
PH FAN SPEED SP (ILC),-0.3385687544254166,9.955019831538138e-05
Power Consumption Fan 16,-0.3415811759153771,-0.027245665994826116
Kiln Drive Speed SP,-0.3458835303021905,0.14021524969949448
Secondary Air Temperature,-0.3552851642785316,0.04071009028757414
Tower pressure (mmwg),-0.364570832766324,0.061159599386592337
Kiln Drive Speed,-0.3699039704872228,0.13929616290806637
C56 Temperature (Bottom cone_ ILC string),-0.3800706389724206,-0.11327329813227609
Cooler Fan 15 Flow,-0.3800946213431345,0.05027670861396857
Cooler Fan-5 Pressure,-0.38850258702836377,0.07003902764934304
Cooler Fan-4 Pressure,-0.39097873609852807,0.04500818369250082
Kiln Feed PV (ILC),-0.39330132729058165,0.07898058575890447
Cooler Fan-3 Pressure,-0.3981785861147734,0.05708043812548762
Kiln Feed  SP (SLC),-0.39855306454294176,0.15240498541514289
A54 Draft,-0.4032940237261861,0.1772152744121926
C56 Draft,-0.40369473065064115,-0.047538007221352055
Kiln Feed PV (SLC),-0.4039460714812753,0.11049832960244703
Power Consumption Fan 17,-0.4052668403672901,-0.016886035438733682
PH Fan Speed (SLC),-0.415117222531572,-0.10677118856891979
Cooler Fan 13 Flow,-0.41794188451041336,-0.21404957769772415
Kiln inlet Temperature,-0.419495186145684,-0.2768651733565399
Cooler Fan 14 Flow,-0.42063896735759204,-0.2104743120434502
Cooler Fan-1 Pressure,-0.4214393309121151,-0.06118317631211483
B54 Draft,-0.42173462508964094,-0.14499661770477196
PH FAN SPEED SP  (Kiln String),-0.4219034612674701,-0.1947154158357685
Cooler Fan 12 Flow,-0.42524570060370404,-0.17308964346559594
Stroke Speed PV,-0.43390145449037343,-0.17599394071275434
Cooler Fan-2 Pressure,-0.43442800217040806,-0.006828454844657061
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,-0.4413649800980421,-0.07292427913773639
PH Fan Speed (ILC),-0.44609027272842855,-0.04289671094758381
Power Consumption Fan 15,-0.4517740499375636,0.10725389397830677
Calciner Coal Feed Rate (ILC),-0.4570693832886009,-0.3810861269532867
Power Consumption Fan 13,-0.4655964869536,-0.019192827087473885
Power Consumption Fan 14,-0.4665022333095343,-0.09123159003355259
Power Consumption Fan 12,-0.48192905119509866,-0.05535132738254973
A54 Temperature (Bottom cone_ Kiln string),-0.4897232609525085,-0.42949649674968804
Kiln Feed  SP  (Kiln String),-0.5029287738429088,0.1427056309078801
Kiln Feed PV (Kiln String),-0.503465505240674,0.1321850564780437
Kiln Drive Current (Torque),-0.5040726367777363,-0.0652537964978
Power Consumption Fan 10,-0.5247907771961122,-0.1784577390964438
Cooler Fan 10 Flow,-0.5340098443432025,-0.2464264797249175
PH Fan Speed  (Kiln String),-0.5618215695541559,-0.2183739812868138
