tag,pearson,spearman
Kiln inlet Temperature,0.9999999999999996,1.0
A54 Temperature (Bottom cone_ Kiln string),0.6217748077586921,0.09601143430524071
Cooler Fan 10 Flow,0.5020333643329806,0.2903744810737911
Kiln Drive Current (Torque),0.46978215329390116,-0.07229162892505982
Power Consumption Fan 10,0.4693137809305123,0.26451585522330096
PH Fan Speed  (Kiln String),0.4587563320563176,0.15462139183877757
Kiln Feed  SP  (Kiln String),0.40751109315902884,-0.06367081729742619
Kiln Feed PV (Kiln String),0.40563684359382046,-0.06074803921693003
Power Consumption Fan 15,0.40160006447528335,-0.0628028932906136
Calciner Coal Feed Rate (ILC),0.3927593738049618,0.2135025553629018
Power Consumption Fan 14,0.3920231043668935,0.014095048872286506
Preheater Exhaust Gas Temperature  (Kiln String),0.386006840290613,0.06046725078412203
Power Consumption Fan 13,0.36651000643620135,-0.07195348376677746
Power Consumption Fan 17,0.3599583008527151,-0.16101021657611886
C56 Temperature (Bottom cone_ ILC string),0.3522829342053907,-0.09763115865739437
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.34366750781210564,-0.17998835615486794
PH Fan Speed (ILC),0.33600075800596513,-0.08762748270266858
Stroke Speed PV,0.33056491978140223,-0.07009189730875616
Power Consumption Fan 12,0.3281725686976648,-0.11506047706371922
PH Fan Speed (SLC),0.3088159294662458,-0.3292947804800127
Vessel_Calciner_temperature_PV (SLC),0.30289988917453164,0.1744289587950203
Cooler Fan-1 Pressure,0.2982351597054522,0.047834553345245445
PH FAN SPEED SP (ILC),0.29283855004193954,-0.25062490912603536
Cooler Fan-2 Pressure,0.2899244171897808,-0.14329222561944968
Kiln Feed PV (SLC),0.28263374612010256,-0.07256183186310079
B54 Draft,0.27810095536331697,-0.05147674588233769
Cooler Fan-5 Pressure,0.2757733619516567,-0.1004459711445329
PH FAN SPEED SP  (Kiln String),0.2740549984138494,0.10013716689351401
Cooler Fan 14 Flow,0.27349479601776366,0.10661244755384368
Calciner_temperature_PV (ILC),0.2734614646811091,-0.08761004649608346
Kiln Feed  SP (SLC),0.2718689705970973,-0.1307951532294516
Cooler Fan 13 Flow,0.26905869596469256,0.11448868354159691
Cooler Fan-4 Pressure,0.2669104407093234,-0.11764780336771254
Cooler Fan 12 Flow,0.26440157840352185,-0.03305608995473522
Cooler Fan-3 Pressure,0.25997403814922254,-0.16404666154811015
Coal Feed Rate (Calciner String),0.25304353226468074,-0.1939651654815581
Power Consumption Fan 16,0.250603420218976,-0.14797036471141106
Cooler Fan 15 Flow,0.2291021699766197,0.06736615767365312
Kiln Inlet CO,0.2154368973998058,0.1723756359210104
Tower pressure (mmwg),0.21121160729277016,-0.17413970629081502
Calciner Outlet-2 CO (ILC),0.20778956406499804,0.16619330680698693
Preheater Exhaust Gas Temperature (SLC),0.20707340668932345,0.11823045581972265
Kiln Coal SP,0.197145588696989,-0.19437190617820524
C56 Draft,0.18614522943366496,-0.42830991803809665
Secondary Air Temperature,0.18240881597458264,-0.21465556224464458
Cooler Fan-6 Pressure,0.18031549172605205,-0.12756296966899797
Kiln Feed PV (ILC),0.1789196101877159,-0.4024667635380388
Kiln Coal Feed Rate,0.17641380710071944,-0.2109355864017449
A54 Draft,0.17566768487772136,-0.33171047938196857
Kiln Drive Speed,0.17126296401989335,-0.3465368958771325
Kiln Outlet O2 (Kiln string),0.16696050662765924,-0.10720871200007964
PH FAN SPEED SP (SLC),0.14793214629762577,-0.35265237283464734
Kiln Drive Speed SP,0.13208164599834266,-0.3530221195781583
Cooler Fan-7 Pressure,0.13181080714039442,-0.12059537995900828
Cooler Fan 15 Flow SP,0.09637544121801783,0.12397405372319961
TA Duct Draft,0.09608021257008532,0.3112629836934558
Cooler Fan 10 Flow SP,0.0877921187465804,-0.09983919428667579
Cooler Fan 13 Flow SP,0.0810958816106337,0.07507844394742083
Calciner Outlet-1 CO (SLC),0.06356827186875913,0.021506400930348248
Cooler Fan 14 Flow SP,0.06302663648248848,0.001393632558591378
Cooler Fan 12 Flow SP,0.05324473870774594,-0.16711206361755546
Vessel_temperature_SP (SLC),0.04479555845271164,0.18948203459621227
Tower pressure Setpoint,0.04143484745297254,0.01916184812024862
Kiln Feed  SP  (ILC),0.03818635754046005,-0.43910520520256274
Cooler Fan 17 Flow,0.022734778017170637,-0.17425279978114713
Cooler Fan 16 Flow,0.022657615688388796,-0.17426340543713442
Clinker temperature,-0.0166800112768756,-0.2609301671363745
Calciner_temperature_SP (ILC),-0.01930919919071092,-0.1540150840795008
Specific Air consumption,-0.039366872078693826,0.3670644779228741
TA Duct Temperature,-0.04525612260112558,-0.23984812345966083
Preheater Exhaust Gas Temperature (ILC),-0.0686255386787619,0.35186996349528915
Calciner Outlet-2 O2 (ILC),-0.1043565116846463,0.1531956078406059
Kiln Hood Draft temperature,-0.10741143970654322,-0.17730714434832842
Calciner Outlet-1 O2 (SLC),-0.12091344263077881,0.19190293830339236
Cooler Fan 16 Flow SP,-0.17424201503688164,-0.4703124944671679
Cooler Fan 17 Flow SP,-0.1772417964114015,-0.33831897327913696
Diverter position,-0.2467621854464069,0.027611143822456323
Kiln Outlet CO (Kiln string),-0.3040381777430534,0.18787057019226075
Kiln Inlet O2,-0.419495186145684,-0.2768651733565399
