tag,pearson,spearman
Preheater Exhaust Gas Temperature (SLC),1.0,0.9999999999999999
Vessel_Calciner_temperature_PV (SLC),0.8451699322027807,0.1940131664917462
PH Fan Speed (SLC),0.7108976898344198,-0.11356565756251441
PH FAN SPEED SP (SLC),0.6769334652472072,-0.17817916680145346
Kiln Feed  SP (SLC),0.6692525171980998,-0.16887822863716045
Kiln Feed PV (SLC),0.6691130807141886,-0.10750761400819023
B54 Draft,0.623554579408018,-0.3391440053922248
Kiln Coal Feed Rate,0.6112791279796354,-0.12574549424344642
Cooler Fan 14 Flow,0.5638985653811582,0.20485926947502098
Kiln Feed  SP  (Kiln String),0.5604552352013511,-0.1582594795835518
Kiln Feed PV (Kiln String),0.5597927373700882,-0.15067786634057975
Secondary Air Temperature,0.557057403414671,-0.06574311253808462
C56 Temperature (Bottom cone_ ILC string),0.5564787816001338,0.12395235862344019
Cooler Fan 13 Flow,0.5534086059945407,0.13668985614001028
Cooler Fan 13 Flow SP,0.5526542453251342,0.06921366178427277
Cooler Fan 12 Flow SP,0.5494681437974226,-0.07626097045200099
Kiln Drive Speed,0.5471819248992538,-0.1909595016734231
Cooler Fan 14 Flow SP,0.5469225071608689,0.17381116551294196
Kiln Drive Speed SP,0.5438807622522014,-0.19735431444444346
Calciner_temperature_PV (ILC),0.5432429834775498,0.18958204715913093
Power Consumption Fan 10,0.5432028990880478,0.12336673554187766
Cooler Fan 10 Flow SP,0.5430685176271555,0.15305544375607644
Cooler Fan 15 Flow,0.5377592530559794,-0.00785783083568281
Cooler Fan 12 Flow,0.5376352051937343,-0.053014687473536035
Cooler Fan 15 Flow SP,0.5349469186350766,-0.0801944839660447
PH FAN SPEED SP (ILC),0.5279768789401564,-0.015717699350183873
Cooler Fan-1 Pressure,0.5263665816644078,-0.0037372221411491138
Cooler Fan-2 Pressure,0.5020701487821194,-0.015860836582800963
PH FAN SPEED SP  (Kiln String),0.501952719244975,0.05942653622790963
Power Consumption Fan 13,0.49883873629019254,0.0068850016650141765
Cooler Fan-3 Pressure,0.4929202495222049,-0.06241831958272436
Kiln Feed  SP  (ILC),0.4884585044375762,-0.2031829262811138
A54 Draft,0.48835394902326934,0.011043743344187873
Cooler Fan-4 Pressure,0.4863046487372781,-0.030076067571822206
Kiln Feed PV (ILC),0.4854914718354843,-0.18444775710037734
Power Consumption Fan 14,0.48388885969634576,0.10686054435427873
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.47199388097124156,-0.07576018462008056
C56 Draft,0.46968045777656475,-0.12538531276601922
Kiln Drive Current (Torque),0.46756473386995817,0.06538116454678503
Stroke Speed PV,0.465343129342573,-0.000651640664435989
Tower pressure (mmwg),0.4612054090200166,-0.08200816071890542
Cooler Fan-5 Pressure,0.45859699955454064,-0.1538255431195185
A54 Temperature (Bottom cone_ Kiln string),0.4481716128984454,0.27919837593427616
Preheater Exhaust Gas Temperature  (Kiln String),0.43925092464244425,0.28159806824610967
PH Fan Speed (ILC),0.4367157753477799,0.04510193090775933
Power Consumption Fan 15,0.43180742564068714,-0.11123739245244563
Power Consumption Fan 12,0.3990299493782816,-0.1293889896450606
Calciner Coal Feed Rate (ILC),0.3724562776987913,0.06602182001126626
Clinker temperature,0.36398512944393124,0.12414399331167422
Cooler Fan 16 Flow SP,0.35929846698062573,-0.10397032703737072
Cooler Fan 10 Flow,0.35776289544353196,0.281044340229069
PH Fan Speed  (Kiln String),0.33985276463525316,0.09254497775629524
Calciner_temperature_SP (ILC),0.3396551211240152,0.19944741920918493
Cooler Fan-6 Pressure,0.32955352285399214,-0.3003227104487607
Tower pressure Setpoint,0.288583287711994,-0.05335481789823665
Calciner Outlet-1 CO (SLC),0.2763503654578854,0.2690537451222443
Cooler Fan 17 Flow,0.273048700406685,-0.25069856912154015
Cooler Fan 16 Flow,0.2729724817713131,-0.25070268089142217
Power Consumption Fan 17,0.2701192835664491,-0.2504596666470053
Cooler Fan-7 Pressure,0.26728402699432574,-0.2949139450508841
Power Consumption Fan 16,0.259725231448377,-0.2835884710630018
Cooler Fan 17 Flow SP,0.22687390852950787,-0.16164175649241014
Coal Feed Rate (Calciner String),0.212207784674221,-0.2833366627271098
Calciner Outlet-2 CO (ILC),0.20772765136633523,0.13384280894151132
Kiln inlet Temperature,0.20707340668932345,0.11823045581972265
Kiln Outlet O2 (Kiln string),0.2021593105385309,0.26475414673056846
Kiln Coal SP,0.19476648532098845,-0.28334354125863503
TA Duct Temperature,0.1376668495829694,-0.295626958331809
Vessel_temperature_SP (SLC),0.1376246210156046,0.18875540082487224
Kiln Hood Draft temperature,0.047983060188676076,-0.07684721217232841
TA Duct Draft,-0.016680109533801408,-0.08919987381169216
Specific Air consumption,-0.0488811055269123,0.15013632727392642
Kiln Inlet CO,-0.08620279495370597,0.0026187003433392948
Kiln Inlet O2,-0.16318374939108163,-0.02115500152758261
Preheater Exhaust Gas Temperature (ILC),-0.1961208620155757,0.2631395705722139
Kiln Outlet CO (Kiln string),-0.2859744681564581,-0.19228128399680577
Calciner Outlet-2 O2 (ILC),-0.34612787277429535,-0.044572415781610614
Calciner Outlet-1 O2 (SLC),-0.4382627330831133,-0.019599972823856643
Diverter position,-0.6943839393177529,-0.12698916927518383
