feature,feature_imp
A54 Temperature (Bottom cone_ Kiln string),0.24423391208321885
Calciner Outlet-1 O2 (SLC),0.20155235761988624
Kiln Coal Feed Rate,0.05816740455194261
Kiln Outlet O2 (Kiln string),0.03199297056739733
Kiln Coal SP,0.02618360363230835
Kiln inlet Temperature,0.024594989996904668
Cooler Fan-6 Pressure,0.02303107283906242
Preheater Exhaust Gas Temperature (SLC),0.022421585173366104
Vessel_Calciner_temperature_PV (SLC),0.014724517801942805
Kiln Inlet O2,0.014291124167242675
Diverter position,0.013941075297760857
Cooler Fan-7 Pressure,0.011492080533819393
Cooler Fan 15 Flow SP,0.011248622541694625
Calciner Outlet-2 O2 (ILC),0.010299178340352934
Preheater Exhaust Gas Temperature  (Kiln String),0.010239924287518886
Preheater Exhaust Gas Temperature (ILC),0.010101829200633593
Clinker temperature,0.009981437973712919
Calciner_temperature_SP (ILC),0.009895742648338856
Kiln Outlet CO (Kiln string),0.009173555054607966
Calciner Coal Feed Rate (ILC),0.0091456663741869
Kiln Inlet CO,0.0086329302593858
TA Duct Temperature,0.008080077345203435
Power Consumption Fan 16,0.007970437504174284
Coal Feed Rate (Calciner String),0.007876718471355558
Secondary Air Temperature,0.007514996339102588
Kiln Drive Current (Torque),0.007387219985284705
Cooler Fan 16 Flow,0.006772042887879812
Cooler Fan 15 Flow,0.00665616536819934
Cooler Fan-1 Pressure,0.006604545843537737
Specific Air consumption,0.006451996252833255
Calciner Outlet-2 CO (ILC),0.0062938999471902355
PH FAN SPEED SP (SLC),0.00626281170074655
PH Fan Speed (ILC),0.006207516891966401
Cooler Fan 14 Flow,0.006086708527509117
Vessel_temperature_SP (SLC),0.005729471881335488
Cooler Fan 17 Flow,0.005542928420811322
A54 Draft,0.00515248051169746
Cooler Fan-5 Pressure,0.00490095324086631
Stroke Speed PV,0.004880725326931555
Kiln Feed  SP  (ILC),0.004661484972406809
PH Fan Speed  (Kiln String),0.004607086656640537
Kiln Feed  SP  (Kiln String),0.00457774558401641
Cooler Fan 10 Flow,0.004372957260795032
Cooler Fan-4 Pressure,0.0043721673337994375
C56 Draft,0.004153957273327272
Cooler Fan-2 Pressure,0.004079714013068962
Cooler Fan 12 Flow,0.004029713140477695
Cooler Fan 13 Flow,0.004015220409378083
B54 Draft,0.003997220175496626
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.0037253661875120314
Tower pressure Setpoint,0.0034635323794971885
Cooler Fan-3 Pressure,0.003400865314646288
Cooler Fan 12 Flow SP,0.003383164788446901
Tower pressure (mmwg),0.0033647596832328606
Kiln Hood Draft temperature,0.0033247713078200136
C56 Temperature (Bottom cone_ ILC string),0.0033028320266570077
Kiln Feed  SP (SLC),0.0030515557102184926
Power Consumption Fan 14,0.0028677050416000545
Cooler Fan 13 Flow SP,0.002817072016757028
Calciner_temperature_PV (ILC),0.002722295736570125
Kiln Drive Speed,0.002675675872213562
Cooler Fan 14 Flow SP,0.002508585572923169
Power Consumption Fan 13,0.0024902584895341064
Power Consumption Fan 10,0.00240758677649625
Kiln Feed PV (SLC),0.0023962490196445855
Power Consumption Fan 12,0.002034931569190892
Kiln Drive Speed SP,0.0019478257171041756
Power Consumption Fan 17,0.0019352475498014476
Kiln Feed PV (ILC),0.0019284517595343693
Power Consumption Fan 15,0.0016758451689656252
PH Fan Speed (SLC),0.0015980694928014133
Kiln Feed PV (Kiln String),0.001590663823312921
PH FAN SPEED SP  (Kiln String),0.0013925502502966558
Cooler Fan 16 Flow SP,0.0011721953720211554
Cooler Fan 17 Flow SP,0.0011006471994622637
PH FAN SPEED SP (ILC),0.000990544256861503
TA Duct Draft,0.00012715778004654022
Cooler Fan 10 Flow SP,1.904992551462063e-05
