feature,feature_imp
Calciner Outlet-1 CO (SLC),0.7203922485223906
Cooler Fan 17 Flow SP,0.05738110507554656
Kiln Outlet CO (Kiln string),0.03427498010569184
Kiln Coal Feed Rate,0.012505748736732726
Kiln Drive Speed,0.01199031778846132
Tower pressure Setpoint,0.010776882284434488
Vessel_Calciner_temperature_PV (SLC),0.00788712098017322
Calciner_temperature_SP (ILC),0.007456634042863535
Kiln inlet Temperature,0.006997776226863615
Kiln Outlet O2 (Kiln string),0.006461090283289771
C56 Draft,0.005724022948810171
Diverter position,0.005261385209305222
Kiln Coal SP,0.004158799783032451
Preheater Exhaust Gas Temperature  (Kiln String),0.004092836159985214
Cooler Fan 13 Flow SP,0.003697986229765651
Preheater Exhaust Gas Temperature (ILC),0.003668681179980598
Cooler Fan 16 Flow SP,0.00361817989947536
Clinker temperature,0.003578638976305884
Preheater Exhaust Gas Temperature (SLC),0.003491625953627058
Power Consumption Fan 10,0.003371452289556505
Vessel_temperature_SP (SLC),0.0032071648481082128
PH Fan Speed (ILC),0.002992490094011429
Specific Air consumption,0.002951191369425011
Calciner Coal Feed Rate (ILC),0.002889101903359619
Kiln Inlet O2,0.0027199804326567237
Cooler Fan-1 Pressure,0.0027064362537242838
Calciner Outlet-2 CO (ILC),0.002473063566073329
Cooler Fan 15 Flow SP,0.0023856279171858646
A54 Temperature (Bottom cone_ Kiln string),0.0022774333164564432
Coal Feed Rate (Calciner String),0.002192793432821077
Kiln Inlet CO,0.0021813970730026645
PH FAN SPEED SP (SLC),0.0021656348609590376
Cooler Fan-6 Pressure,0.002032135993097997
Kiln Drive Current (Torque),0.001999685331602706
Cooler Fan 10 Flow,0.001954464044623216
Calciner Outlet-2 O2 (ILC),0.0019138831582396789
TA Duct Temperature,0.00189969453100134
Secondary Air Temperature,0.0017289564524364
PH FAN SPEED SP (ILC),0.0017090098032103438
B54 Draft,0.0016469949921430883
Cooler Fan-7 Pressure,0.001589748414960241
Cooler Fan 14 Flow SP,0.0015791044627275186
Cooler Fan 15 Flow,0.0015357504939282059
Kiln Feed  SP  (Kiln String),0.0014228581190967589
Cooler Fan 13 Flow,0.0014210244707237962
Kiln Hood Draft temperature,0.0014144491309050536
PH Fan Speed  (Kiln String),0.001399862635969448
A54 Draft,0.0013339282923880524
Tower pressure (mmwg),0.0013246391307764785
PH FAN SPEED SP  (Kiln String),0.0012848956601683396
Cooler Fan-5 Pressure,0.0012841522467207365
Kiln Feed PV (SLC),0.0012375180733008029
Cooler Fan 12 Flow,0.001236438696934286
Kiln Feed  SP  (ILC),0.001233947506696926
Cooler Fan-4 Pressure,0.0011253971919765625
C56 Temperature (Bottom cone_ ILC string),0.0011140919909110938
Kiln Feed  SP (SLC),0.001096858179371259
Cooler Fan 14 Flow,0.0010615307241206152
Stroke Speed PV,0.0010316483116667358
Calciner_temperature_PV (ILC),0.0010116777791034167
Cooler Fan-2 Pressure,0.0009662055885935748
Cooler Fan 16 Flow,0.0009528569204031724
Cooler Fan-3 Pressure,0.0009377111549469997
Cooler Fan 17 Flow,0.0009111295060868028
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.0008556435337170357
Kiln Feed PV (ILC),0.0008166000913543671
Power Consumption Fan 12,0.0008115944681017206
Power Consumption Fan 15,0.0007523923780145767
Power Consumption Fan 13,0.0006823493609110729
Power Consumption Fan 17,0.0006401219974485372
Kiln Feed PV (Kiln String),0.0006243933955976886
PH Fan Speed (SLC),0.000614374516800688
Cooler Fan 12 Flow SP,0.0005392245292084517
Power Consumption Fan 14,0.0004978697630320341
Kiln Drive Speed SP,0.00038647396677960496
Power Consumption Fan 16,0.0003549242129983938
TA Duct Draft,0.00010043618824686514
Cooler Fan 10 Flow SP,1.5248648817685303e-06
