feature,feature_imp
B54 Draft,0.273507593550401
Cooler Fan 16 Flow SP,0.08641827782185237
Cooler Fan-6 Pressure,0.07430721505387149
PH Fan Speed (ILC),0.04175676600768463
Kiln inlet Temperature,0.031078399505781625
Power Consumption Fan 10,0.02737976264837412
Diverter position,0.024936181777802966
Cooler Fan 15 Flow SP,0.02405633372499082
Cooler Fan-1 Pressure,0.023605416267716176
Calciner Outlet-1 CO (SLC),0.021667486525931628
Cooler Fan 13 Flow SP,0.020436616194737835
Preheater Exhaust Gas Temperature (ILC),0.01859924548054931
Preheater Exhaust Gas Temperature  (Kiln String),0.01843906904367281
Tower pressure Setpoint,0.017949432156869772
Kiln Coal SP,0.01477020109157949
PH Fan Speed (SLC),0.014734492792491064
Kiln Inlet O2,0.014255114045080699
Kiln Feed  SP  (ILC),0.013430216817042786
Stroke Speed PV,0.012256615502749887
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.011772182967119071
TA Duct Temperature,0.009657977676668006
Preheater Exhaust Gas Temperature (SLC),0.009224274732554756
Cooler Fan-7 Pressure,0.009210373453055205
Calciner_temperature_SP (ILC),0.009079435397553126
PH FAN SPEED SP (SLC),0.008575369403102558
Kiln Feed  SP (SLC),0.007768229262761992
Cooler Fan 15 Flow,0.00671157610690542
Vessel_temperature_SP (SLC),0.006358259970697979
Kiln Drive Speed SP,0.006088055814865602
Kiln Inlet CO,0.0057577068013374534
Kiln Drive Current (Torque),0.005584885929992174
Calciner Outlet-2 CO (ILC),0.005578811142104696
Cooler Fan 14 Flow,0.005358998655459322
Kiln Drive Speed,0.004986649003753859
Specific Air consumption,0.004954477410346743
Kiln Coal Feed Rate,0.0049226455820278675
PH Fan Speed  (Kiln String),0.004818637748758538
Power Consumption Fan 16,0.004648922308280003
C56 Draft,0.004637069615541011
Kiln Feed  SP  (Kiln String),0.004618349005432436
Cooler Fan 12 Flow SP,0.004578177195966061
Cooler Fan 13 Flow,0.004429584525724443
Kiln Outlet O2 (Kiln string),0.004368668842618864
Power Consumption Fan 12,0.003986410877165661
Cooler Fan 12 Flow,0.0038109610570545554
Calciner Coal Feed Rate (ILC),0.0037816451166857844
Cooler Fan 17 Flow,0.003608842182240403
Cooler Fan 16 Flow,0.003320970744089252
Cooler Fan-3 Pressure,0.0032299121795998026
A54 Temperature (Bottom cone_ Kiln string),0.003207872114615067
Cooler Fan-4 Pressure,0.0030621518649848237
Secondary Air Temperature,0.002891365290608996
A54 Draft,0.0027995531598804164
Coal Feed Rate (Calciner String),0.002648219819442597
PH FAN SPEED SP (ILC),0.002629474604660139
Cooler Fan-5 Pressure,0.002468040128457212
Cooler Fan 14 Flow SP,0.0024223039547537303
Calciner Outlet-1 O2 (SLC),0.002244982443998545
PH FAN SPEED SP  (Kiln String),0.0022374979199315426
Calciner Outlet-2 O2 (ILC),0.002231765734178959
Kiln Outlet CO (Kiln string),0.0019235771345696253
Power Consumption Fan 13,0.0017852297397232147
Cooler Fan-2 Pressure,0.0016988848854573451
Calciner_temperature_PV (ILC),0.001666760279144038
C56 Temperature (Bottom cone_ ILC string),0.0016093730840608786
Vessel_Calciner_temperature_PV (SLC),0.0015819712756450267
Tower pressure (mmwg),0.001543275937800687
Power Consumption Fan 14,0.0015328303295491863
Cooler Fan 10 Flow,0.001437855565917687
Kiln Hood Draft temperature,0.0012894838245752762
Kiln Feed PV (SLC),0.0012430264902342954
Power Consumption Fan 17,0.0012256388616520158
Cooler Fan 17 Flow SP,0.0009794632562454561
Power Consumption Fan 15,0.000977086572491052
Kiln Feed PV (ILC),0.0006187626797653685
Kiln Feed PV (Kiln String),0.0005170024766148829
TA Duct Draft,0.0005091791957688913
Cooler Fan 10 Flow SP,4.874656630089027e-06
