feature,feature_imp
Kiln Drive Speed,0.750032582133771
Cooler Fan 12 Flow SP,0.0912290374403505
A54 Temperature (Bottom cone_ Kiln string),0.014930875813788661
Kiln Coal Feed Rate,0.014362699753790932
Diverter position,0.007332518149586666
Kiln inlet Temperature,0.005874594461979475
Kiln Coal SP,0.005081192434118925
Clinker temperature,0.004167728907677842
Cooler Fan-1 Pressure,0.004019225412019208
Cooler Fan 13 Flow SP,0.003991494806962363
Specific Air consumption,0.003921488536593083
Cooler Fan-4 Pressure,0.0038460573690744368
Calciner_temperature_PV (ILC),0.0037790824064128587
Calciner Outlet-1 CO (SLC),0.003611335075133162
Kiln Drive Speed SP,0.0035282097564857257
Vessel_temperature_SP (SLC),0.0031717752372006696
Preheater Exhaust Gas Temperature  (Kiln String),0.003049319706368543
Calciner Coal Feed Rate (ILC),0.002633228233351084
PH Fan Speed (SLC),0.0026110583570135466
Kiln Inlet CO,0.00257209707685918
Preheater Exhaust Gas Temperature (ILC),0.0025375568983211595
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.002478613611905763
Calciner Outlet-2 CO (ILC),0.00242765405588383
Kiln Inlet O2,0.002423099617387944
Cooler Fan 14 Flow,0.002363608979210837
TA Duct Temperature,0.0022448675401266645
Vessel_Calciner_temperature_PV (SLC),0.0020911583743443503
Preheater Exhaust Gas Temperature (SLC),0.0020768752168472005
Secondary Air Temperature,0.0018444620194595855
Cooler Fan 13 Flow,0.0016834992474647626
Cooler Fan-6 Pressure,0.0016543087601087589
Cooler Fan 12 Flow,0.0016023053796276972
Power Consumption Fan 14,0.001478752099695742
Calciner Outlet-1 O2 (SLC),0.001469952840393615
PH Fan Speed (ILC),0.0014666209204674363
Cooler Fan 15 Flow,0.0014360794721466907
Calciner Outlet-2 O2 (ILC),0.0014239471292258065
Kiln Feed  SP  (ILC),0.0014186923949895285
Cooler Fan-7 Pressure,0.0013862117693759115
A54 Draft,0.0013749051612215294
Power Consumption Fan 10,0.0013701075086704198
C56 Temperature (Bottom cone_ ILC string),0.0013147972069750167
Cooler Fan-3 Pressure,0.0011744095792860245
Stroke Speed PV,0.0011240955367288722
B54 Draft,0.001108822945640429
Coal Feed Rate (Calciner String),0.0010650540162777122
Kiln Outlet O2 (Kiln string),0.001062360933466722
C56 Draft,0.0010119741599546662
PH FAN SPEED SP (ILC),0.000986820685312697
Cooler Fan-2 Pressure,0.0009811306448321002
Calciner_temperature_SP (ILC),0.0009773354534716942
Cooler Fan 10 Flow,0.000966465506053955
Kiln Feed  SP  (Kiln String),0.0009660022342390815
PH Fan Speed  (Kiln String),0.0009597015034798533
Power Consumption Fan 17,0.0009237188992692007
Kiln Hood Draft temperature,0.0009227050555886311
Kiln Feed  SP (SLC),0.0009117536679123202
Cooler Fan 16 Flow,0.0008994897092083335
PH FAN SPEED SP (SLC),0.0008666994152182833
Cooler Fan-5 Pressure,0.000863910100176806
Tower pressure (mmwg),0.0008317116392234782
Power Consumption Fan 12,0.0008270861417693544
Cooler Fan 17 Flow,0.0007760501471128407
Power Consumption Fan 13,0.0006999347558958965
Cooler Fan 16 Flow SP,0.0006889277653338674
Cooler Fan 14 Flow SP,0.0006692296185522016
Kiln Outlet CO (Kiln string),0.0006043321823150765
Power Consumption Fan 16,0.0005884600416744114
Cooler Fan 15 Flow SP,0.000509338348801069
Kiln Feed PV (Kiln String),0.00049290688548531
Tower pressure Setpoint,0.0004609138474951506
PH FAN SPEED SP  (Kiln String),0.0004530300955635816
Kiln Feed PV (SLC),0.00044365476067727375
Power Consumption Fan 15,0.000438551524335336
Kiln Feed PV (ILC),0.0002585391344515816
Cooler Fan 17 Flow SP,0.00010672208462077602
TA Duct Draft,6.365094944740102e-05
Cooler Fan 10 Flow SP,8.32758739819462e-07
