feature,feature_imp
A54 Temperature (Bottom cone_ Kiln string),0.20746493557573195
PH Fan Speed  (Kiln String),0.14004810179454957
Cooler Fan 16 Flow SP,0.06713933647102363
Kiln Inlet CO,0.06523351675944399
Kiln Coal SP,0.03612532427096578
Kiln inlet Temperature,0.03265660474679215
Cooler Fan-1 Pressure,0.023143506618390784
Preheater Exhaust Gas Temperature (SLC),0.02286367370075758
Preheater Exhaust Gas Temperature (ILC),0.01947058668471797
Preheater Exhaust Gas Temperature  (Kiln String),0.017398155678135126
Kiln Coal Feed Rate,0.014384493629411554
Clinker temperature,0.014134862679760123
PH Fan Speed (ILC),0.012771562209629394
B54 Draft,0.012682071759617435
Cooler Fan-5 Pressure,0.01264960159070253
Cooler Fan-3 Pressure,0.01186536204627739
Power Consumption Fan 10,0.01170925817686677
Cooler Fan-6 Pressure,0.009803318605763386
Cooler Fan 14 Flow,0.009288028622163736
Cooler Fan-7 Pressure,0.008908502858273507
Secondary Air Temperature,0.008684658460626332
TA Duct Temperature,0.008440191248258143
Specific Air consumption,0.008341245112366254
Kiln Outlet CO (Kiln string),0.007920888878565666
Calciner_temperature_PV (ILC),0.007439565123595737
Kiln Feed  SP  (ILC),0.007296349628288525
Calciner Outlet-1 O2 (SLC),0.007160902899274919
Stroke Speed PV,0.006978706055653175
Diverter position,0.006546604568953605
Vessel_temperature_SP (SLC),0.006293610013114464
Cooler Fan 10 Flow,0.006185498104405249
PH Fan Speed (SLC),0.006127505658845347
Calciner Outlet-2 CO (ILC),0.00602015535214114
Cooler Fan 14 Flow SP,0.005955656242917971
Kiln Drive Speed,0.0057827845682206945
Cooler Fan 13 Flow,0.005540013995816598
Cooler Fan-4 Pressure,0.005507020221272182
Calciner Outlet-2 O2 (ILC),0.005472834500595899
Tower pressure (mmwg),0.005453952516975807
Kiln Outlet O2 (Kiln string),0.005172027363182366
Calciner Coal Feed Rate (ILC),0.005147002860694053
Calciner Outlet-1 CO (SLC),0.005051421559941999
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.004972188320685802
Kiln Drive Speed SP,0.004926066965375628
Cooler Fan 12 Flow SP,0.004731906081153198
Coal Feed Rate (Calciner String),0.004649295138790739
Cooler Fan 15 Flow,0.00445895732508868
Kiln Drive Current (Torque),0.004184942321780636
Cooler Fan 12 Flow,0.00418062976678878
Power Consumption Fan 14,0.004091816361524527
Kiln Feed  SP  (Kiln String),0.0040245641688135825
Cooler Fan 13 Flow SP,0.003923471431243609
Kiln Feed PV (Kiln String),0.003876490697431615
Tower pressure Setpoint,0.003724307724943462
Calciner_temperature_SP (ILC),0.003592693489434104
C56 Draft,0.0035372252253504416
Kiln Feed PV (SLC),0.003397849263324242
A54 Draft,0.0033155898195497153
Kiln Hood Draft temperature,0.0032120089609686425
Vessel_Calciner_temperature_PV (SLC),0.003107137429316071
Power Consumption Fan 12,0.0030766792491821334
Kiln Feed PV (ILC),0.002882624474047426
Power Consumption Fan 13,0.002855861646016633
Cooler Fan-2 Pressure,0.0028452347865989044
Power Consumption Fan 17,0.002725281748571126
Kiln Feed  SP (SLC),0.002668136938319152
Cooler Fan 16 Flow,0.0026066407077253374
Cooler Fan 17 Flow,0.0023868829881380092
Power Consumption Fan 16,0.0022694612475834537
PH FAN SPEED SP (SLC),0.002204169492291859
Cooler Fan 15 Flow SP,0.002132731224887839
PH FAN SPEED SP  (Kiln String),0.002046047785231174
C56 Temperature (Bottom cone_ ILC string),0.0018608860745534272
Power Consumption Fan 15,0.0014842727755843168
PH FAN SPEED SP (ILC),0.0012279918506032045
Cooler Fan 17 Flow SP,0.0004927866668680524
TA Duct Draft,4.885585054442265e-05
Cooler Fan 10 Flow SP,1.8914589009544405e-05
