feature,feature_imp
Coal Feed Rate (Calciner String),0.29763251575416627
Cooler Fan 16 Flow SP,0.18260919199024808
Kiln Drive Current (Torque),0.05953622176228202
Specific Air consumption,0.05230681604791
Cooler Fan 14 Flow,0.04404204868913926
Kiln Outlet CO (Kiln string),0.03540605251130118
Kiln Feed  SP  (ILC),0.03501228757465529
Diverter position,0.027230139374697676
A54 Temperature (Bottom cone_ Kiln string),0.024120677172148067
Kiln Coal SP,0.022650994396341616
Cooler Fan 15 Flow SP,0.017334960479728167
Cooler Fan-1 Pressure,0.016380998156529294
Cooler Fan 10 Flow,0.015528672817765704
Calciner_temperature_SP (ILC),0.013955266258985372
Cooler Fan 12 Flow SP,0.012318159316358185
C56 Draft,0.011652794810668535
Calciner Outlet-2 CO (ILC),0.010121646119310745
Vessel_temperature_SP (SLC),0.009274932212921206
Preheater Exhaust Gas Temperature (SLC),0.008119749573073863
Kiln Drive Speed,0.007006026112296449
Cooler Fan 12 Flow,0.0058004018436931095
Cooler Fan 14 Flow SP,0.005496019752049749
PH FAN SPEED SP (SLC),0.005196438874483185
Clinker temperature,0.004044503925996862
Calciner Outlet-1 O2 (SLC),0.003883636332188359
Preheater Exhaust Gas Temperature (ILC),0.0035264412761224547
C56 Temperature (Bottom cone_ ILC string),0.0033756603145695353
Cooler Fan-7 Pressure,0.0033663219551080038
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.0032559685332864655
Tower pressure Setpoint,0.0029622500471183887
Cooler Fan 17 Flow SP,0.0029384207333667924
PH Fan Speed (ILC),0.00292451397958861
Cooler Fan 15 Flow,0.002718080787447811
PH FAN SPEED SP (ILC),0.0026652300664943623
Preheater Exhaust Gas Temperature  (Kiln String),0.0026039696881279563
PH Fan Speed  (Kiln String),0.002458128290243569
Kiln Drive Speed SP,0.0024253170110231513
PH Fan Speed (SLC),0.0021758409776456533
Kiln Coal Feed Rate,0.00213662697681773
Calciner Outlet-2 O2 (ILC),0.0020089377267526478
Kiln Inlet O2,0.0019219248881671611
Cooler Fan 13 Flow SP,0.0017371339174760917
Cooler Fan-6 Pressure,0.001640343494730354
B54 Draft,0.0015817346563742256
Kiln Feed PV (ILC),0.0015731685979518293
Calciner Coal Feed Rate (ILC),0.001520233214037789
PH FAN SPEED SP  (Kiln String),0.0014694648368436837
Power Consumption Fan 10,0.001419197318418934
Power Consumption Fan 12,0.0012791594764386227
Vessel_Calciner_temperature_PV (SLC),0.0012494984743108913
Cooler Fan 13 Flow,0.0010709994445289336
Kiln Feed  SP  (Kiln String),0.001049500378617317
Kiln Outlet O2 (Kiln string),0.0009912562940113485
Power Consumption Fan 14,0.0009580277006639674
Kiln Feed  SP (SLC),0.0008403621262491802
A54 Draft,0.0008274429450046926
TA Duct Temperature,0.0008227484386318341
Cooler Fan-3 Pressure,0.0007840263961855098
Kiln Inlet CO,0.0007790766232465764
Calciner Outlet-1 CO (SLC),0.0007569931912110226
TA Duct Draft,0.0007089558876370604
Cooler Fan 16 Flow,0.000619668508369223
Cooler Fan-4 Pressure,0.000613871551335836
Cooler Fan-5 Pressure,0.0005869879519436181
Power Consumption Fan 16,0.0005343974587740697
Cooler Fan-2 Pressure,0.0005192500920230096
Cooler Fan 17 Flow,0.0004603706363445688
Stroke Speed PV,0.0004572016335754255
Calciner_temperature_PV (ILC),0.0004396980115124476
Secondary Air Temperature,0.0004355607291482768
Kiln Feed PV (SLC),0.00041506974248852813
Tower pressure (mmwg),0.0004110436324075679
Power Consumption Fan 13,0.00038838099909839925
Power Consumption Fan 15,0.0002949439889072107
Power Consumption Fan 17,0.00029113120369855485
Kiln Hood Draft temperature,0.00022843235609909594
Kiln Feed PV (Kiln String),0.00011409528036602869
Cooler Fan 10 Flow SP,5.787700519679102e-06
