feature,feature_imp
Vessel_Calciner_temperature_PV (SLC),0.8315528842156955
B54 Draft,0.029086914493521906
PH Fan Speed (ILC),0.02457629802711243
Calciner_temperature_SP (ILC),0.010225777480874788
Specific Air consumption,0.009022212730324294
Preheater Exhaust Gas Temperature  (Kiln String),0.007472563636499868
Clinker temperature,0.006381630011482168
Cooler Fan-7 Pressure,0.004822209832654298
C56 Temperature (Bottom cone_ ILC string),0.0044897145632906265
Tower pressure Setpoint,0.004389368523734365
TA Duct Temperature,0.003862105064017664
Diverter position,0.003754668338788163
Kiln Coal SP,0.003245575916796407
Calciner Outlet-2 CO (ILC),0.003137523385369108
Preheater Exhaust Gas Temperature (ILC),0.0029196751167448647
Kiln inlet Temperature,0.00290759853314815
PH Fan Speed  (Kiln String),0.002761389734379529
Kiln Feed  SP  (Kiln String),0.0018500183717675507
Kiln Coal Feed Rate,0.0018469833724077055
Kiln Drive Speed,0.001758244540775391
A54 Draft,0.0017042509919178485
Cooler Fan 14 Flow,0.0016136723359427127
Cooler Fan-6 Pressure,0.0014518111606018262
Cooler Fan-1 Pressure,0.0014034287112117308
Calciner Outlet-1 O2 (SLC),0.0014018325265106393
Calciner Outlet-1 CO (SLC),0.0013775264699765397
Calciner_temperature_PV (ILC),0.0013696198688080015
Calciner Coal Feed Rate (ILC),0.0013669913039958128
Kiln Feed  SP (SLC),0.0013330393880153079
Cooler Fan 15 Flow SP,0.00128334328134331
Calciner Outlet-2 O2 (ILC),0.0011860566971344864
PH FAN SPEED SP (ILC),0.0011422648027013477
Kiln Drive Speed SP,0.0010966415855513264
A54 Temperature (Bottom cone_ Kiln string),0.001041154946530977
Vessel_temperature_SP (SLC),0.0010056290828242274
Kiln Inlet O2,0.0009504087494952926
Cooler Fan 16 Flow,0.000839710407040614
Kiln Outlet O2 (Kiln string),0.0008095415135408809
Cooler Fan 14 Flow SP,0.0007770233944100887
Cooler Fan 12 Flow,0.0007422604510457536
Cooler Fan 12 Flow SP,0.0007358837798320233
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.0007323742483177637
Cooler Fan 15 Flow,0.0007050360474420038
Kiln Feed  SP  (ILC),0.0006878823576327144
Cooler Fan 16 Flow SP,0.0006858242220055213
Kiln Inlet CO,0.0006722359770766797
Coal Feed Rate (Calciner String),0.0006572633764460348
Kiln Feed PV (SLC),0.0006442975523465487
Cooler Fan 10 Flow,0.0006226770045926626
Cooler Fan 17 Flow,0.0005781752064768078
PH FAN SPEED SP (SLC),0.0005579710004123033
Kiln Drive Current (Torque),0.0005439986240857726
Secondary Air Temperature,0.0005341807436930083
C56 Draft,0.0005189520393161762
PH FAN SPEED SP  (Kiln String),0.00048309129662001674
Power Consumption Fan 13,0.00044857735157238847
Kiln Feed PV (Kiln String),0.00044257578064322477
Cooler Fan-5 Pressure,0.00043874749686542567
Kiln Hood Draft temperature,0.00041890004916523177
Power Consumption Fan 12,0.00041738178043943783
Cooler Fan 13 Flow,0.0003918436433892768
Cooler Fan-2 Pressure,0.0003734536362891838
Cooler Fan 13 Flow SP,0.00037066896763644633
Power Consumption Fan 10,0.0003594682999067508
Tower pressure (mmwg),0.00034654768119274577
Power Consumption Fan 14,0.00032768976366639633
Cooler Fan-3 Pressure,0.0003126170002044233
Cooler Fan-4 Pressure,0.00030438643034944653
PH Fan Speed (SLC),0.00027804807993751974
Kiln Feed PV (ILC),0.00025027160556332593
Stroke Speed PV,0.0002445628058867601
Kiln Outlet CO (Kiln string),0.0002265533856992127
Power Consumption Fan 15,0.00020728704606475144
Power Consumption Fan 16,0.00015585455359713108
Cooler Fan 17 Flow SP,0.0001506144229815145
TA Duct Draft,0.0001016681613689618
Power Consumption Fan 17,7.762478205569191e-05
Cooler Fan 10 Flow SP,3.5250241245252815e-05
