feature,feature_imp
Kiln Drive Speed SP,0.6627246727034348
Kiln Drive Speed,0.07212859697937843
Cooler Fan-1 Pressure,0.026893962375821714
Kiln Hood Draft temperature,0.024685539975154526
Cooler Fan-2 Pressure,0.015028021222728258
Cooler Fan 17 Flow SP,0.013532996015461606
TA Duct Temperature,0.013333632995658495
Cooler Fan-6 Pressure,0.009883479606747694
Vessel_Calciner_temperature_PV (SLC),0.007701630848489435
Kiln Feed  SP  (ILC),0.0071787166942654
Tower pressure (mmwg),0.006842643878429959
Preheater Exhaust Gas Temperature  (Kiln String),0.00593394213501769
Clinker temperature,0.0054560104586638064
Cooler Fan-5 Pressure,0.005284919509258258
Preheater Exhaust Gas Temperature (ILC),0.004693700948846467
Kiln Inlet O2,0.004583252310565962
Kiln inlet Temperature,0.004534677912520912
Cooler Fan-4 Pressure,0.004373220277260697
Calciner Coal Feed Rate (ILC),0.004178517444975516
Cooler Fan 15 Flow,0.0037196219017325708
Kiln Coal Feed Rate,0.003583544156811823
Stroke Speed PV,0.003573597516872714
Specific Air consumption,0.0035006291080218383
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.003451014888076106
Preheater Exhaust Gas Temperature (SLC),0.003352847141169728
Kiln Inlet CO,0.003060647572722162
Vessel_temperature_SP (SLC),0.0029831996139028823
Calciner Outlet-1 CO (SLC),0.0029535719965027847
Cooler Fan-7 Pressure,0.0028059150318089214
Cooler Fan 13 Flow,0.0027509769578769137
Diverter position,0.0025937236475950475
Kiln Drive Current (Torque),0.00246706157870079
Power Consumption Fan 14,0.002432205796822948
Kiln Outlet CO (Kiln string),0.0024040372289761596
Calciner Outlet-2 CO (ILC),0.0022864829489472357
Power Consumption Fan 13,0.002194002840930758
Kiln Coal SP,0.0021788977721024032
Cooler Fan 10 Flow,0.0021608683049113976
PH Fan Speed (ILC),0.002158904417313837
Cooler Fan-3 Pressure,0.0021411436166242893
Kiln Outlet O2 (Kiln string),0.0021130115318375702
B54 Draft,0.0021098291472330132
Cooler Fan 12 Flow,0.002016670451035904
Calciner Outlet-2 O2 (ILC),0.00170383630663652
A54 Temperature (Bottom cone_ Kiln string),0.0016652338559072443
Cooler Fan 14 Flow,0.0016566787839074355
Calciner Outlet-1 O2 (SLC),0.0016368612870149757
Calciner_temperature_PV (ILC),0.001624092806796988
Coal Feed Rate (Calciner String),0.0015998288153228958
C56 Draft,0.001545677710656918
Power Consumption Fan 16,0.0015434873253283275
Power Consumption Fan 12,0.0015232553178548673
Calciner_temperature_SP (ILC),0.0014099028667647318
Power Consumption Fan 10,0.001374808670768718
Power Consumption Fan 15,0.0013240167430910292
Cooler Fan 17 Flow,0.0012600072568671353
Cooler Fan 16 Flow,0.0012529166141121352
C56 Temperature (Bottom cone_ ILC string),0.001225606299140825
Kiln Feed  SP  (Kiln String),0.0011965783938163706
Cooler Fan 12 Flow SP,0.0011580112855535682
PH FAN SPEED SP (ILC),0.001157044696214524
Kiln Feed  SP (SLC),0.0010897372791727734
Power Consumption Fan 17,0.00101588836766768
Tower pressure Setpoint,0.0009777678800410611
A54 Draft,0.0009740822897282573
Cooler Fan 14 Flow SP,0.0007885793933411215
PH Fan Speed  (Kiln String),0.0007684055486008298
Kiln Feed PV (SLC),0.000755081522757589
Cooler Fan 15 Flow SP,0.0005702867417948258
Kiln Feed PV (ILC),0.000561862739827673
PH Fan Speed (SLC),0.000553320246341486
PH FAN SPEED SP (SLC),0.0005311581207324362
PH FAN SPEED SP  (Kiln String),0.0005290326695162068
Kiln Feed PV (Kiln String),0.0004801198282291805
Cooler Fan 13 Flow SP,0.000401630763844548
TA Duct Draft,0.00014158530432294855
Cooler Fan 16 Flow SP,3.79625986300577e-05
Cooler Fan 10 Flow SP,1.114208486833301e-06
