feature,mutual_info
Calciner Outlet-1 O2 (SLC),0.6054992926353284
Kiln Coal SP,0.45284666513679994
PH Fan Speed (ILC),0.4167167455967933
Kiln Drive Speed,0.3972345037212639
Cooler Fan-7 Pressure,0.38845778553403587
Kiln Drive Speed SP,0.3740396682971783
Kiln Feed  SP  (ILC),0.3732163238244084
Cooler Fan-1 Pressure,0.3681332607361183
A54 Temperature (Bottom cone_ Kiln string),0.3675811842210699
Preheater Exhaust Gas Temperature (ILC),0.3585487621734069
Kiln Coal Feed Rate,0.35801996762075383
Cooler Fan-6 Pressure,0.3577835023759288
Cooler Fan 14 Flow,0.354358011245707
A54 Draft,0.3542527214087645
Specific Air consumption,0.3501397087227094
Diverter position,0.3482162272783018
Cooler Fan 13 Flow,0.3436281469195368
Coal Feed Rate (Calciner String),0.342948480330886
Cooler Fan 12 Flow,0.338535760645561
Cooler Fan 15 Flow,0.3362132356983256
Kiln inlet Temperature,0.3348489165939341
PH Fan Speed  (Kiln String),0.32172237682915705
Preheater Exhaust Gas Temperature (SLC),0.31719241682951527
Kiln Feed  SP  (Kiln String),0.3141046059994279
Cooler Fan 14 Flow SP,0.3044442041249278
Cooler Fan-5 Pressure,0.29959479205432515
Kiln Feed PV (ILC),0.2981222481863295
Cooler Fan 12 Flow SP,0.2923869624581146
Cooler Fan 13 Flow SP,0.29002960240900544
PH FAN SPEED SP (SLC),0.28923700761507876
B54 Draft,0.287899765968084
Clinker temperature,0.28747056308952956
Cooler Fan 15 Flow SP,0.28603123572602973
Kiln Feed  SP (SLC),0.2848681525740506
Cooler Fan-4 Pressure,0.2837964328748699
TA Duct Temperature,0.28350918956980564
Kiln Feed PV (SLC),0.28317842336746013
Kiln Feed PV (Kiln String),0.27947125848724585
Kiln Outlet CO (Kiln string),0.2780213979604378
C56 Temperature (Bottom cone_ ILC string),0.2773291198888659
Cooler Fan-3 Pressure,0.27703322171993605
Tower pressure Setpoint,0.26927776188413155
C56 Draft,0.2688064133593331
Power Consumption Fan 15,0.2687915016623661
Power Consumption Fan 10,0.2668870089063291
Calciner_temperature_PV (ILC),0.26289422497265313
PH Fan Speed (SLC),0.258583493205931
Power Consumption Fan 12,0.2550246318410734
PH FAN SPEED SP  (Kiln String),0.25408860039581693
Cooler Fan-2 Pressure,0.2529016817567813
Vessel_Calciner_temperature_PV (SLC),0.25031710009542607
Calciner Outlet-2 CO (ILC),0.250171751449602
Stroke Speed PV,0.25015143933304973
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.2495498227075883
Power Consumption Fan 13,0.2492290290609711
Calciner Outlet-2 O2 (ILC),0.24856980661503147
Kiln Drive Current (Torque),0.2449104479715798
Tower pressure (mmwg),0.24358776990486852
Kiln Outlet O2 (Kiln string),0.24305235958921756
Cooler Fan 16 Flow,0.23971861928745586
Cooler Fan 17 Flow,0.23949232138197019
Power Consumption Fan 16,0.23631896268177321
Vessel_temperature_SP (SLC),0.23600265955251842
Calciner Coal Feed Rate (ILC),0.2337684636816073
Kiln Inlet O2,0.23358759412922403
Secondary Air Temperature,0.23336977638975842
Power Consumption Fan 14,0.23224257914070812
Preheater Exhaust Gas Temperature  (Kiln String),0.2283915617211827
Cooler Fan 17 Flow SP,0.22505663154492916
Cooler Fan 10 Flow,0.20879300968859837
PH FAN SPEED SP (ILC),0.20700683225554828
Cooler Fan 16 Flow SP,0.19225554639641862
Calciner_temperature_SP (ILC),0.18949780855171738
Kiln Inlet CO,0.1893697474384579
Power Consumption Fan 17,0.153343687564524
Cooler Fan 10 Flow SP,0.0741279015178975
TA Duct Draft,0.06508706158419164
Kiln Hood Draft temperature,0.06249511943341268
