feature,mutual_info
Kiln Coal SP,0.4962827131107028
PH Fan Speed (ILC),0.4791112971946454
Cooler Fan-7 Pressure,0.44310694175547827
Kiln Drive Speed,0.43892532145071517
Cooler Fan 14 Flow,0.42863388491365306
Kiln inlet Temperature,0.42457611057193745
Kiln Drive Speed SP,0.4175717862355466
Kiln Feed  SP  (ILC),0.4113152103276416
Cooler Fan-1 Pressure,0.4059700096372829
Preheater Exhaust Gas Temperature (ILC),0.40463800303710773
Cooler Fan 13 Flow,0.40297881253882295
Specific Air consumption,0.383602042685534
Cooler Fan-6 Pressure,0.38092440399494887
Cooler Fan 14 Flow SP,0.3705898710253237
Cooler Fan 12 Flow,0.3650333312270915
PH Fan Speed  (Kiln String),0.35285945946516595
Cooler Fan 15 Flow,0.34861880031113746
Cooler Fan 13 Flow SP,0.34675175088189736
Diverter position,0.3386260002074639
Kiln Feed  SP  (Kiln String),0.32907437928262073
Coal Feed Rate (Calciner String),0.32248724614932556
Kiln Feed PV (ILC),0.3191753189528761
Kiln Feed  SP (SLC),0.319034242165241
A54 Draft,0.3133771726185888
Cooler Fan 12 Flow SP,0.31256183443764485
C56 Draft,0.311339371163613
Preheater Exhaust Gas Temperature (SLC),0.3104514346625393
Cooler Fan-3 Pressure,0.31045051242191324
Calciner Outlet-1 O2 (SLC),0.3063008563242713
Cooler Fan-4 Pressure,0.2987277495148035
Preheater Exhaust Gas Temperature  (Kiln String),0.2977860831872148
Kiln Feed PV (SLC),0.29712733522880974
Kiln Coal Feed Rate,0.29691539886067453
C56 Temperature (Bottom cone_ ILC string),0.2954934712976165
Cooler Fan-5 Pressure,0.2918706110462459
Cooler Fan-2 Pressure,0.29007331744366915
Power Consumption Fan 10,0.28769137399896483
Calciner Outlet-1 CO (SLC),0.28538645775686966
Stroke Speed PV,0.2825471386874998
B54 Draft,0.28139657187489586
PH FAN SPEED SP (SLC),0.27851908936710323
Cooler Fan 15 Flow SP,0.2765679756408588
Kiln Feed PV (Kiln String),0.2748647890953677
Tower pressure Setpoint,0.27373555450190423
PH Fan Speed (SLC),0.2729011243699757
Calciner_temperature_PV (ILC),0.2720842961967538
A54 Temperature (Bottom cone_ Kiln string),0.27084515775570406
Tower pressure (mmwg),0.26752971547618465
Power Consumption Fan 13,0.26393171897238243
Calciner Outlet-2 CO (ILC),0.2626539227369138
Calciner Outlet-2 O2 (ILC),0.2539980088828333
PH FAN SPEED SP  (Kiln String),0.25397157006316107
Vessel_temperature_SP (SLC),0.2520414219321463
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.24980331078959583
Power Consumption Fan 12,0.2497555510370475
Secondary Air Temperature,0.24645727427604047
TA Duct Temperature,0.24443944625044356
Cooler Fan 16 Flow,0.24124006873481996
Power Consumption Fan 15,0.24012630055935702
Cooler Fan 17 Flow,0.23964352354842866
Power Consumption Fan 14,0.238803542190535
Vessel_Calciner_temperature_PV (SLC),0.2330597897435629
Kiln Inlet O2,0.23008292629734228
Kiln Outlet CO (Kiln string),0.22902999147415404
Power Consumption Fan 16,0.2209646954021096
Calciner Coal Feed Rate (ILC),0.2110287744104875
Cooler Fan 10 Flow,0.20055738919676713
Kiln Drive Current (Torque),0.2002020383691434
PH FAN SPEED SP (ILC),0.1965797753975469
Kiln Inlet CO,0.19052474832429844
Calciner_temperature_SP (ILC),0.17566606438322996
Kiln Outlet O2 (Kiln string),0.17526829799733434
Cooler Fan 16 Flow SP,0.17210905621574657
Cooler Fan 17 Flow SP,0.16094394474880414
Power Consumption Fan 17,0.11842382236191451
Kiln Hood Draft temperature,0.08031702299217969
Cooler Fan 10 Flow SP,0.07218685031747452
TA Duct Draft,0.05548506379542095
