feature,mutual_info
Kiln Drive Speed,0.3945308862448851
Kiln Drive Speed SP,0.37763273112560114
Cooler Fan 14 Flow,0.3732295472016869
Kiln Coal SP,0.3628943083076459
Cooler Fan-1 Pressure,0.3571004366283814
Cooler Fan 13 Flow,0.34331455806235134
Kiln Feed  SP  (Kiln String),0.3374720469028558
Cooler Fan 12 Flow,0.33378717022971216
Cooler Fan-7 Pressure,0.33098570884998857
PH Fan Speed (ILC),0.32527941812268146
Cooler Fan-3 Pressure,0.32304223473059945
Kiln Feed  SP  (ILC),0.32214816421965065
PH Fan Speed  (Kiln String),0.32206913449075625
Cooler Fan 15 Flow,0.31971097830799877
Cooler Fan-5 Pressure,0.31636499292749765
Cooler Fan-4 Pressure,0.3162504003068163
Cooler Fan-6 Pressure,0.3147095328690419
Kiln Coal Feed Rate,0.3124190615965112
Power Consumption Fan 13,0.31092770581545004
Cooler Fan-2 Pressure,0.3101966127200937
Kiln Feed PV (Kiln String),0.30956734070974967
A54 Draft,0.30512433397741834
A54 Temperature (Bottom cone_ Kiln string),0.30299803695915006
Preheater Exhaust Gas Temperature (ILC),0.3004641369146439
C56 Temperature (Bottom cone_ ILC string),0.2994014309178965
Power Consumption Fan 12,0.29775780748509817
Cooler Fan 14 Flow SP,0.29372740409259723
Tower pressure (mmwg),0.2916552930215284
Calciner_temperature_PV (ILC),0.29105965310274495
Diverter position,0.29103309890388296
Stroke Speed PV,0.2901756238152151
Power Consumption Fan 14,0.28683773071505847
B54 Draft,0.2858765214293495
Kiln Feed PV (ILC),0.28271423454897704
Vessel_Calciner_temperature_PV (SLC),0.28163205209856557
Specific Air consumption,0.2810715235392509
PH Fan Speed (SLC),0.27982592583753174
Power Consumption Fan 10,0.2793372266494707
Coal Feed Rate (Calciner String),0.27925677318540654
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.27904916207861064
Power Consumption Fan 15,0.2783157122065143
C56 Draft,0.27816991800961777
Kiln Feed  SP (SLC),0.27557625205021097
Cooler Fan 13 Flow SP,0.27116719699172354
Cooler Fan 12 Flow SP,0.26841209544293143
PH FAN SPEED SP  (Kiln String),0.2645823306031385
Kiln Feed PV (SLC),0.2635755567917464
PH FAN SPEED SP (SLC),0.26023068151364726
Calciner Coal Feed Rate (ILC),0.25609719901215744
Secondary Air Temperature,0.2514785887644857
Preheater Exhaust Gas Temperature (SLC),0.24797013343813834
Calciner Outlet-1 CO (SLC),0.24694008399934209
Calciner Outlet-1 O2 (SLC),0.24575220647216423
Calciner Outlet-2 O2 (ILC),0.23968091567153582
Cooler Fan 16 Flow,0.23504024544333646
Power Consumption Fan 16,0.23417903023495867
Kiln inlet Temperature,0.2336759590248123
Cooler Fan 17 Flow,0.2336630782212712
Cooler Fan 15 Flow SP,0.23074338013451356
Calciner Outlet-2 CO (ILC),0.22712845262204606
TA Duct Temperature,0.22658669149888233
Tower pressure Setpoint,0.21375609423364406
Kiln Outlet CO (Kiln string),0.20155374316804586
Clinker temperature,0.20111288432022878
Vessel_temperature_SP (SLC),0.1884515202816921
PH FAN SPEED SP (ILC),0.18493728164757428
Kiln Inlet CO,0.18171095897029854
Preheater Exhaust Gas Temperature  (Kiln String),0.18160578047386444
Kiln Outlet O2 (Kiln string),0.172654559408576
Kiln Inlet O2,0.17132333467152172
Power Consumption Fan 17,0.1631865210262644
Cooler Fan 10 Flow,0.1622733480712668
Calciner_temperature_SP (ILC),0.14682441974646032
Cooler Fan 17 Flow SP,0.1223884300950373
Cooler Fan 16 Flow SP,0.11392682563851686
Kiln Hood Draft temperature,0.08443333655952046
Cooler Fan 10 Flow SP,0.06703886390279568
TA Duct Draft,0.034506877093902766
