feature,mutual_info
Kiln Coal SP,0.6422550776057898
Kiln inlet Temperature,0.5118299609940662
Coal Feed Rate (Calciner String),0.49438343493109027
PH Fan Speed (ILC),0.4309983674901918
Kiln Drive Speed,0.4307864645133126
Cooler Fan 14 Flow,0.4266622540850449
Cooler Fan 13 Flow,0.4221564576672092
Cooler Fan 15 Flow,0.42160602254863555
Cooler Fan-7 Pressure,0.4190752084885343
Cooler Fan 12 Flow,0.41129809295095576
Kiln Drive Speed SP,0.40578549600230573
Cooler Fan 16 Flow SP,0.3949815599792963
Specific Air consumption,0.38807719607410185
Kiln Coal Feed Rate,0.38484770540476543
Cooler Fan-6 Pressure,0.36660703614903944
A54 Draft,0.36626321338270085
Preheater Exhaust Gas Temperature (ILC),0.364781529482439
Kiln Inlet CO,0.36188409332417937
Calciner Outlet-1 O2 (SLC),0.35747458559522194
Cooler Fan 14 Flow SP,0.3491872438933443
Cooler Fan-1 Pressure,0.3481791741326088
Kiln Feed  SP  (ILC),0.34404459635979645
Cooler Fan 12 Flow SP,0.3402568154604415
Cooler Fan 13 Flow SP,0.33501870769189157
A54 Temperature (Bottom cone_ Kiln string),0.32824248126527067
Diverter position,0.3263026452791822
Calciner Outlet-2 CO (ILC),0.31749566077728186
Kiln Feed  SP  (Kiln String),0.31142294111613555
PH Fan Speed  (Kiln String),0.30696850352511085
TA Duct Temperature,0.30676693974214775
Kiln Feed  SP (SLC),0.2984535782131674
Cooler Fan-3 Pressure,0.29597750136119405
Cooler Fan-5 Pressure,0.287756520784213
Cooler Fan 15 Flow SP,0.28273007000328576
Kiln Feed PV (SLC),0.28115465634237236
Cooler Fan-4 Pressure,0.27790569981645064
C56 Temperature (Bottom cone_ ILC string),0.27568156350363626
Tower pressure (mmwg),0.2754230213675708
Preheater Exhaust Gas Temperature  (Kiln String),0.2729572496497408
Calciner Coal Feed Rate (ILC),0.2718173713228378
Power Consumption Fan 15,0.27073418805405325
Tower pressure Setpoint,0.2692182627205675
Preheater Exhaust Gas Temperature (SLC),0.2672235420381339
Cooler Fan-2 Pressure,0.26512980127806074
Calciner_temperature_PV (ILC),0.2642948774192009
Kiln Feed PV (Kiln String),0.2590971218106528
Kiln Feed PV (ILC),0.2585466252021007
Power Consumption Fan 10,0.25524597829690343
C56 Draft,0.25148505572701296
Power Consumption Fan 12,0.2428331189748274
Stroke Speed PV,0.24266229339373524
Cooler Fan 16 Flow,0.23631581304535043
Cooler Fan 17 Flow,0.23443934101054698
Calciner Outlet-2 O2 (ILC),0.23344820749875606
Calciner Outlet-1 CO (SLC),0.23287228380135705
Vessel_temperature_SP (SLC),0.23132255206562302
Clinker temperature,0.22886507341502238
Cooler Fan 10 Flow,0.22337743153553546
Power Consumption Fan 16,0.22230946128429974
PH FAN SPEED SP  (Kiln String),0.22142049573759603
Kiln Outlet CO (Kiln string),0.2210180545633813
B54 Draft,0.22039165185293097
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.21771639920059105
Power Consumption Fan 13,0.21453774408348103
Secondary Air Temperature,0.21243771281201518
PH FAN SPEED SP (SLC),0.21174569342118765
Power Consumption Fan 14,0.21137313730165275
Kiln Outlet O2 (Kiln string),0.20485229596156085
Calciner_temperature_SP (ILC),0.20456450542679683
PH Fan Speed (SLC),0.1933839414329146
Vessel_Calciner_temperature_PV (SLC),0.18332322512763
PH FAN SPEED SP (ILC),0.1820778583698095
Kiln Drive Current (Torque),0.16961953776814376
Power Consumption Fan 17,0.15824533837170307
Cooler Fan 17 Flow SP,0.14635054840863848
Kiln Hood Draft temperature,0.07721259274811043
TA Duct Draft,0.0671830168756884
Cooler Fan 10 Flow SP,0.04549708326964552
