feature,mutual_info
Kiln Coal SP,1.1070152553653827
Kiln Feed  SP  (ILC),0.8241608784162127
Coal Feed Rate (Calciner String),0.818236583128213
PH Fan Speed (ILC),0.810288257534622
Cooler Fan-7 Pressure,0.764829512286676
Diverter position,0.7590420912397948
Kiln Drive Speed,0.7398349648566294
Specific Air consumption,0.7360172983486049
Preheater Exhaust Gas Temperature (ILC),0.7085812247439112
Cooler Fan 14 Flow,0.6991737951977379
Cooler Fan 15 Flow,0.6984639613993044
Kiln Drive Speed SP,0.6937240625934074
Kiln Feed PV (ILC),0.663201831959368
Calciner Outlet-1 O2 (SLC),0.6544588531563624
Cooler Fan 13 Flow,0.6365789011790772
Cooler Fan 14 Flow SP,0.630671589439169
Cooler Fan-6 Pressure,0.6270294516931223
A54 Draft,0.6243611618172666
Kiln Coal Feed Rate,0.6195879044042671
Cooler Fan 12 Flow,0.5892638327219197
Cooler Fan 16 Flow SP,0.5843784095787754
Cooler Fan 13 Flow SP,0.5669187540764051
Cooler Fan 12 Flow SP,0.5460148328277405
Cooler Fan-1 Pressure,0.5452648432689831
Cooler Fan 15 Flow SP,0.5443472314575395
C56 Draft,0.5302858948495839
Kiln Inlet O2,0.5135091898731012
PH Fan Speed  (Kiln String),0.5028688774918981
TA Duct Temperature,0.4968221118866998
Preheater Exhaust Gas Temperature  (Kiln String),0.4966958529989842
Kiln Feed  SP  (Kiln String),0.4828797644195797
Vessel_temperature_SP (SLC),0.4655827536596524
Preheater Exhaust Gas Temperature (SLC),0.458947682698871
Power Consumption Fan 15,0.4555528064235528
Kiln Feed  SP (SLC),0.4538817034072382
Kiln Feed PV (SLC),0.4488162561406437
Cooler Fan-5 Pressure,0.4459679342790013
Cooler Fan 10 Flow,0.44199190085598694
Clinker temperature,0.4205935467495747
Cooler Fan 17 Flow SP,0.4178157825247477
C56 Temperature (Bottom cone_ ILC string),0.41452284553229113
Tower pressure Setpoint,0.41413261682593117
PH Fan Speed (SLC),0.412027940733239
Cooler Fan-3 Pressure,0.41062834206449494
Calciner_temperature_SP (ILC),0.40398908330607064
Calciner Outlet-2 CO (ILC),0.4016857419436741
Cooler Fan-4 Pressure,0.400067739438124
Power Consumption Fan 16,0.3961138234663073
Cooler Fan 17 Flow,0.3943971454169688
Cooler Fan 16 Flow,0.39305006263017006
Power Consumption Fan 10,0.3873900487493174
PH FAN SPEED SP (SLC),0.3842093031384808
Tower pressure (mmwg),0.3775661871951197
Kiln Feed PV (Kiln String),0.37558500902924585
Calciner Outlet-2 O2 (ILC),0.37391514367728274
Calciner Coal Feed Rate (ILC),0.3530743268219192
Kiln Outlet O2 (Kiln string),0.3427690876341787
Secondary Air Temperature,0.3403636346041896
Calciner_temperature_PV (ILC),0.33982909884814383
Cooler Fan-2 Pressure,0.33764042828334073
Calciner Outlet-1 CO (SLC),0.33402638452709343
Power Consumption Fan 14,0.3315967282218333
Power Consumption Fan 12,0.32750488579725
A54 Temperature (Bottom cone_ Kiln string),0.32408885059458026
Stroke Speed PV,0.32306674234466026
PH FAN SPEED SP  (Kiln String),0.31982351173772194
B54 Draft,0.30809719079302234
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.29787493601605686
Power Consumption Fan 17,0.29678912245366806
Kiln Inlet CO,0.282867181499304
PH FAN SPEED SP (ILC),0.281052484987125
Power Consumption Fan 13,0.2743471926032619
Kiln Outlet CO (Kiln string),0.272209747607457
Vessel_Calciner_temperature_PV (SLC),0.2631458303759686
Kiln Drive Current (Torque),0.23453461140372323
TA Duct Draft,0.13886876786310332
Kiln Hood Draft temperature,0.13065995338384084
Cooler Fan 10 Flow SP,0.052145545324899345
