feature,mutual_info
Kiln Coal SP,0.6875978475316584
PH Fan Speed (ILC),0.5653671587402975
Kiln Drive Speed,0.5422305807632419
Cooler Fan-7 Pressure,0.5346144811839464
Preheater Exhaust Gas Temperature (ILC),0.5244471682132739
Kiln Drive Speed SP,0.5137798835986054
Coal Feed Rate (Calciner String),0.49847510889515156
Cooler Fan-6 Pressure,0.48371691038022924
Cooler Fan-1 Pressure,0.47735650384128636
B54 Draft,0.472179771083133
Kiln inlet Temperature,0.46181180495762586
Kiln Feed  SP  (ILC),0.45829410212689403
Cooler Fan 14 Flow,0.4530918422365202
Cooler Fan 13 Flow,0.4482555057957036
Cooler Fan 12 Flow,0.4436521295840361
PH Fan Speed  (Kiln String),0.42563635387389454
Specific Air consumption,0.42256557974938946
Diverter position,0.42082380297667576
Cooler Fan 15 Flow,0.4049376162658058
Calciner Outlet-1 O2 (SLC),0.38308477810998287
Kiln Feed  SP  (Kiln String),0.3791974120545154
Calciner_temperature_PV (ILC),0.3766943254915889
Kiln Feed PV (ILC),0.3739935790216382
A54 Draft,0.37197813245642397
C56 Temperature (Bottom cone_ ILC string),0.37140409091073234
Preheater Exhaust Gas Temperature  (Kiln String),0.37014709867489337
Cooler Fan-5 Pressure,0.3628875168412602
Cooler Fan-3 Pressure,0.35990167257768846
Cooler Fan-4 Pressure,0.35821837087894615
Cooler Fan 16 Flow,0.35747048172406615
Cooler Fan 17 Flow,0.35399925200566873
TA Duct Temperature,0.3522321445801415
Kiln Feed  SP (SLC),0.3510213124816879
C56 Draft,0.3504627328556831
Kiln Coal Feed Rate,0.34981408372259715
PH FAN SPEED SP  (Kiln String),0.34233581105814004
Vessel_Calciner_temperature_PV (SLC),0.3406851801240611
Calciner Outlet-2 CO (ILC),0.34043855612639096
Cooler Fan-2 Pressure,0.33719820463595074
PH FAN SPEED SP (SLC),0.33605680007097316
Cooler Fan 12 Flow SP,0.33394868267204814
Kiln Feed PV (Kiln String),0.33250855854949535
A54 Temperature (Bottom cone_ Kiln string),0.33152970476806676
Cooler Fan 14 Flow SP,0.3297547075363161
Secondary Air Temperature,0.3287953411442519
Kiln Feed PV (SLC),0.32728375549914634
Tower pressure Setpoint,0.3258829727876016
Calciner Outlet-2 O2 (ILC),0.322604087603775
Power Consumption Fan 12,0.32242328394606456
Tower pressure (mmwg),0.3214730153048029
Power Consumption Fan 16,0.3208463842885303
Calciner Outlet-1 CO (SLC),0.31758021073360077
Power Consumption Fan 10,0.31701216168366475
Cooler Fan 13 Flow SP,0.3164781284993179
PH Fan Speed (SLC),0.31429447340886885
Clinker temperature,0.3117023269231325
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.3105121027001658
Power Consumption Fan 13,0.30720617553034124
Power Consumption Fan 15,0.2951424775151388
Power Consumption Fan 14,0.2884682576575077
Stroke Speed PV,0.28601791797622056
Cooler Fan 15 Flow SP,0.2758617839512336
Calciner Coal Feed Rate (ILC),0.26628256666680716
Kiln Inlet O2,0.2658496825211385
Kiln Drive Current (Torque),0.2502397695380596
Kiln Outlet O2 (Kiln string),0.24434987997923585
Vessel_temperature_SP (SLC),0.24405336140769585
Calciner_temperature_SP (ILC),0.24063757434582378
PH FAN SPEED SP (ILC),0.23532843202244802
Cooler Fan 10 Flow,0.2294384208168898
Kiln Outlet CO (Kiln string),0.22942452033686944
Power Consumption Fan 17,0.21356187712156594
Kiln Inlet CO,0.20369012219982796
Cooler Fan 16 Flow SP,0.16770172272252104
Cooler Fan 17 Flow SP,0.15805952843951765
Kiln Hood Draft temperature,0.11372253933433463
Cooler Fan 10 Flow SP,0.06758815536277663
TA Duct Draft,0.04566823980935686
