feature,mutual_info
Kiln Drive Speed,0.4988240097649639
Kiln Drive Speed SP,0.48527380227396844
Preheater Exhaust Gas Temperature (ILC),0.460063464713234
Kiln Feed  SP  (ILC),0.4423165772821065
Cooler Fan-5 Pressure,0.43149464644127633
Cooler Fan-1 Pressure,0.4271401702221471
Cooler Fan-7 Pressure,0.4258048155367504
Cooler Fan-3 Pressure,0.4239646555574135
Specific Air consumption,0.42222521627633736
Cooler Fan-6 Pressure,0.4203563767276819
Kiln Feed PV (ILC),0.4197138805545215
Cooler Fan-4 Pressure,0.4127817270529981
Cooler Fan 13 Flow,0.40316328007101987
A54 Draft,0.4024668221160246
Cooler Fan 12 Flow,0.4017332361692141
Cooler Fan 14 Flow,0.3932083607714958
Cooler Fan-2 Pressure,0.38793553652858126
Tower pressure (mmwg),0.38573184696492735
PH Fan Speed (ILC),0.3834086945854214
Kiln Coal SP,0.3778909032358708
TA Duct Temperature,0.3712799130749014
C56 Temperature (Bottom cone_ ILC string),0.3695657089584685
Kiln Feed  SP  (Kiln String),0.36458191985718713
Power Consumption Fan 15,0.3626404815730222
Power Consumption Fan 13,0.3593033078269281
Calciner_temperature_PV (ILC),0.3572698005106698
Power Consumption Fan 12,0.356513889144507
PH Fan Speed  (Kiln String),0.3531409729959867
Cooler Fan 15 Flow,0.35241402254410925
C56 Draft,0.35158918303346987
Kiln Feed PV (Kiln String),0.3419667707357954
Kiln inlet Temperature,0.34063727086148443
Kiln Coal Feed Rate,0.33618922061516976
Calciner Outlet-1 O2 (SLC),0.3305686535777035
Kiln Feed  SP (SLC),0.3273223358774482
Kiln Feed PV (SLC),0.3245104996417405
Preheater Exhaust Gas Temperature (SLC),0.3236600115186974
Coal Feed Rate (Calciner String),0.32360984162611217
Power Consumption Fan 10,0.3195310324615521
PH Fan Speed (SLC),0.31574551913794036
Power Consumption Fan 14,0.3155016886915396
Vessel_Calciner_temperature_PV (SLC),0.3148190696227955
Diverter position,0.31265642000177785
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.31064625085336584
B54 Draft,0.30864863934606923
Cooler Fan 16 Flow,0.3063415887597838
Cooler Fan 17 Flow,0.3040443652726603
Cooler Fan 12 Flow SP,0.30285421549378366
A54 Temperature (Bottom cone_ Kiln string),0.2959127440433438
Power Consumption Fan 16,0.2954037998950829
PH FAN SPEED SP (SLC),0.28976598261411546
PH FAN SPEED SP  (Kiln String),0.285273361808974
Stroke Speed PV,0.28505436958070884
Preheater Exhaust Gas Temperature  (Kiln String),0.2841231605258461
Cooler Fan 14 Flow SP,0.27841240487368957
Cooler Fan 13 Flow SP,0.278057716793799
Calciner Coal Feed Rate (ILC),0.2629224645986401
Kiln Drive Current (Torque),0.2555023775654517
Calciner Outlet-2 O2 (ILC),0.251494131594483
PH FAN SPEED SP (ILC),0.24777315248101228
Clinker temperature,0.24718731057543497
Cooler Fan 10 Flow,0.23993477267596397
Calciner Outlet-2 CO (ILC),0.23687937931481695
Calciner Outlet-1 CO (SLC),0.23265656629204834
Cooler Fan 15 Flow SP,0.23028415530114899
Kiln Hood Draft temperature,0.22060465706871568
Power Consumption Fan 17,0.21419945639553006
Kiln Inlet O2,0.2119224226955687
Vessel_temperature_SP (SLC),0.20875192850100888
Cooler Fan 17 Flow SP,0.20469082154711638
Kiln Outlet CO (Kiln string),0.2032792032205295
Tower pressure Setpoint,0.19506025804193872
Kiln Outlet O2 (Kiln string),0.1888468133806791
Cooler Fan 16 Flow SP,0.18513125841415246
Kiln Inlet CO,0.16979808636054994
Calciner_temperature_SP (ILC),0.1551277889547409
Cooler Fan 10 Flow SP,0.07903431146681195
TA Duct Draft,0.05657865896142811
