feature,feature_imp
Cooler Fan 10 Flow,0.1117042508104687
Cooler Fan-6 Pressure,0.09904360242543903
Diverter position,0.05360339524436977
Preheater Exhaust Gas Temperature (ILC),0.04842305401113907
Preheater Exhaust Gas Temperature  (Kiln String),0.047551363803935966
PH Fan Speed (ILC),0.046370981960126255
Kiln inlet Temperature,0.0421795073900507
Power Consumption Fan 10,0.04088086988228163
Cooler Fan-1 Pressure,0.03768905873048311
Cooler Fan 15 Flow,0.030548886163943408
PH Fan Speed (SLC),0.027365813694225853
Kiln Inlet O2,0.023612036856912485
Cooler Fan 13 Flow,0.023258724912091397
PH Fan Speed  (Kiln String),0.020198147898646452
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.018695627537688143
Kiln Drive Speed,0.01806909371217625
Kiln Feed PV (SLC),0.01627898514792195
Coal Feed Rate (Calciner String),0.014139194783855698
Cooler Fan 14 Flow,0.013885881285368846
Specific Air consumption,0.013625949829865999
Cooler Fan-7 Pressure,0.013289398695007833
Calciner Outlet-2 CO (ILC),0.012956459296644308
Calciner Outlet-1 O2 (SLC),0.012066230996675118
B54 Draft,0.011867362541401458
Preheater Exhaust Gas Temperature (SLC),0.01161870652061033
TA Duct Temperature,0.011476459493099408
Calciner Outlet-1 CO (SLC),0.011210351183117057
Stroke Speed PV,0.010845155339341484
Cooler Fan 12 Flow,0.01072736561391758
C56 Draft,0.010500421283477645
Kiln Coal Feed Rate,0.010340335653714759
C56 Temperature (Bottom cone_ ILC string),0.009603432542119827
A54 Temperature (Bottom cone_ Kiln string),0.008602304543423926
Kiln Feed PV (ILC),0.008550978306243125
Kiln Inlet CO,0.007545249781823478
Kiln Feed PV (Kiln String),0.0074106418124588215
Calciner Coal Feed Rate (ILC),0.007194953624643478
Kiln Outlet CO (Kiln string),0.006967332407634188
Kiln Drive Current (Torque),0.006708307391653182
Secondary Air Temperature,0.00549480223300289
Cooler Fan-5 Pressure,0.005427561014988964
Cooler Fan 16 Flow,0.005136722648457802
Calciner Outlet-2 O2 (ILC),0.004177137961592041
Cooler Fan 17 Flow,0.004093516545388688
Cooler Fan-4 Pressure,0.0037509357242451573
A54 Draft,0.0036337341683498983
Power Consumption Fan 14,0.0035507575687756345
Power Consumption Fan 12,0.003532943207421328
Kiln Outlet O2 (Kiln string),0.0029382275447793903
Cooler Fan-3 Pressure,0.0028683506721029106
Cooler Fan-2 Pressure,0.002818306290677716
Calciner_temperature_PV (ILC),0.0025021757307484944
Power Consumption Fan 13,0.0023087107234648955
Power Consumption Fan 16,0.0020960952648999267
Power Consumption Fan 17,0.002004308316898186
Tower pressure (mmwg),0.0019052741393770893
Power Consumption Fan 15,0.0018971940906520835
Kiln Hood Draft temperature,0.0015725504206421212
Vessel_Calciner_temperature_PV (SLC),0.001270634774496935
TA Duct Draft,0.00041418785104000653
