feature,mutual_info
Kiln inlet Temperature,0.35564416332661963
PH Fan Speed (ILC),0.3207962396523163
Cooler Fan-7 Pressure,0.28985614179008223
Cooler Fan 14 Flow,0.24963132076588046
Diverter position,0.23375131949955907
Kiln Drive Speed,0.23122521925388995
Coal Feed Rate (Calciner String),0.2302689742171058
Cooler Fan 13 Flow,0.2186237399298534
Cooler Fan-6 Pressure,0.21805869092820718
Preheater Exhaust Gas Temperature (ILC),0.20968244430269767
Cooler Fan 15 Flow,0.19776267458486885
Preheater Exhaust Gas Temperature  (Kiln String),0.1971657221922518
Cooler Fan-1 Pressure,0.1853968938862467
Specific Air consumption,0.1789197266112188
Calciner Outlet-1 O2 (SLC),0.1655203891230128
Cooler Fan 12 Flow,0.15838792443488803
PH Fan Speed  (Kiln String),0.15768665998008036
Calciner Outlet-1 CO (SLC),0.15395993226393845
Kiln Feed PV (ILC),0.15392844300098307
Kiln Inlet O2,0.15109509980318325
Calciner Outlet-2 CO (ILC),0.13990523374545472
C56 Draft,0.1365435348380597
Kiln Feed PV (SLC),0.1303212081244629
Kiln Coal Feed Rate,0.13027510067484194
Power Consumption Fan 16,0.12925017237178782
Preheater Exhaust Gas Temperature (SLC),0.12821638356673315
Cooler Fan 17 Flow,0.12589075169185726
Cooler Fan 16 Flow,0.12483529152617923
Power Consumption Fan 10,0.11856281356175202
Kiln Outlet O2 (Kiln string),0.11805323006370916
Cooler Fan 10 Flow,0.11753649974121938
PH Fan Speed (SLC),0.11615299524625566
A54 Draft,0.11564751502305715
Calciner Outlet-2 O2 (ILC),0.10853372729449173
TA Duct Temperature,0.10739897357204331
Stroke Speed PV,0.10684181488258293
Calciner Coal Feed Rate (ILC),0.09099682007376497
Cooler Fan-4 Pressure,0.09075807410740921
Power Consumption Fan 15,0.09013377259580402
Cooler Fan-5 Pressure,0.08932043138693668
Kiln Feed PV (Kiln String),0.08900342379420678
Cooler Fan-3 Pressure,0.08893335385088807
Power Consumption Fan 14,0.08890997332949446
A54 Temperature (Bottom cone_ Kiln string),0.08607070826676555
Cooler vent Fan Speed (Cooler outlet Fan_ ESP Inlet Fan) PV,0.08574419561224556
Kiln Inlet CO,0.08100553658078535
Kiln Outlet CO (Kiln string),0.07878439136723525
B54 Draft,0.07868146134454523
Power Consumption Fan 13,0.07174082116325486
C56 Temperature (Bottom cone_ ILC string),0.06726717901642942
Cooler Fan-2 Pressure,0.06568653367407506
Power Consumption Fan 12,0.06492955615627238
Secondary Air Temperature,0.060681820119904195
Power Consumption Fan 17,0.058021548914849674
Tower pressure (mmwg),0.05792807711223347
Kiln Drive Current (Torque),0.043469727151570936
Calciner_temperature_PV (ILC),0.04016529930406154
Kiln Hood Draft temperature,0.030646011683711727
Vessel_Calciner_temperature_PV (SLC),0.029117913157102215
TA Duct Draft,0.028286655766057045
